OptGen X,OptGen Y,RCWA X,RCWA Y
0,760704.16,0.0005,8.8436713e+09
0.013945312,772372.74,0.175,74982397
0.027890624,784041.33,0.3495,9.0790541e+09
0.041835938,775786.54,0.3505,4.7907501e+22
0.055781249,767531.75,0.35594444,4.709492e+22
0.083671875,715691.18,0.36583333,4.5432368e+22
0.1115625,663850.62,0.37572222,4.3595802e+22
0.16734375,694522.48,0.38561111,4.1715605e+22
0.223125,725194.33,0.3955,3.9926094e+22
0.25101563,754073.88,0.40538889,3.8354016e+22
0.27890626,782953.42,0.41527778,3.7107697e+22
0.29285157,769461.09,0.42516667,3.6267766e+22
0.30679688,755968.77,0.43505556,3.5880253e+22
0.32074219,729541.52,0.44494444,3.5952641e+22
0.3346875,703114.27,0.45483333,3.6453229e+22
0.34234375,687655.32,0.46472222,3.7313843e+22
0.34999999,672196.36,0.47461111,3.8435673e+22
0.34999999,672196.36,0.4845,3.9697726e+22
0.35280275,2.356587e+22,0.49438889,4.0967191e+22
0.35560548,4.7131739e+22,0.50427778,4.2110803e+22
0.35909182,4.6560911e+22,0.51416667,4.3006251e+22
0.36257812,4.5990083e+22,0.52405556,4.3552653e+22
0.36606446,4.5368057e+22,0.5295,4.3695849e+22
0.36955079,4.4746031e+22,0.5305,8.6093392e+09
0.3730371,4.4092372e+22,0.6575,2076.7124
0.37652344,4.3438714e+22,0.7845,0
0.38000977,4.2774186e+22,0.7855,8.6082884e+09
0.38349611,4.2109659e+22,1.285,0
0.38698244,4.1458626e+22,1.7845,0
0.39046875,4.0807594e+22,-,-
0.39395508,4.0200587e+22,-,-
0.39744142,3.959358e+22,-,-
0.40092772,3.9047635e+22,-,-
0.40441406,3.8501689e+22,-,-
0.40790039,3.8033201e+22,-,-
0.41138673,3.7564712e+22,-,-
0.41487306,3.7187345e+22,-,-
0.41835937,3.6809978e+22,-,-
0.4218457,3.6534309e+22,-,-
0.42533204,3.6258639e+22,-,-
0.42881835,3.6091843e+22,-,-
0.43230468,3.5925047e+22,-,-
0.43579102,3.5884291e+22,-,-
0.43927735,3.5843536e+22,-,-
0.44276369,3.5920832e+22,-,-
0.44624999,3.5998128e+22,-,-
0.44973633,3.6175979e+22,-,-
0.45322266,3.635383e+22,-,-
0.45670897,3.6620871e+22,-,-
0.4601953,3.6887911e+22,-,-
0.46368164,3.7229814e+22,-,-
0.46716797,3.7571717e+22,-,-
0.47065431,3.7971599e+22,-,-
0.47414061,3.8371482e+22,-,-
0.47762695,3.8810351e+22,-,-
0.48111328,3.924922e+22,-,-
0.48459959,3.9704143e+22,-,-
0.48808593,4.0159067e+22,-,-
0.49157226,4.060017e+22,-,-
0.4950586,4.1041273e+22,-,-
0.49854493,4.1447392e+22,-,-
0.50203127,4.1853512e+22,-,-
0.5055176,4.2205391e+22,-,-
0.50900388,4.255727e+22,-,-
0.51249021,4.2837585e+22,-,-
0.51597655,4.31179e+22,-,-
0.51946288,4.3311739e+22,-,-
0.52294922,4.3505577e+22,-,-
0.52469242,4.3600466e+22,-,-
0.52643555,4.3695354e+22,-,-
0.52730715,4.3695354e+22,-,-
0.52817869,4.3695354e+22,-,-
0.52908933,2.1847677e+22,-,-
0.52999997,0,-,-
0.52999997,0,-,-
0.5303967,0,-,-
0.53079343,0,-,-
0.53122926,0,-,-
0.53166503,0,-,-
0.53253663,0,-,-
0.53340822,0,-,-
0.53515136,0,-,-
0.53689456,0,-,-
0.5386377,0,-,-
0.54038084,0,-,-
0.54212403,0,-,-
0.54386717,0,-,-
0.54735351,0,-,-
0.55083984,0,-,-
0.55432618,0,-,-
0.55781251,0,-,-
0.56478512,0,-,-
0.57175779,0,-,-
0.57873046,0,-,-
0.58570313,0,-,-
0.59964848,0,-,-
0.61359376,0,-,-
0.64148438,0,-,-
0.669375,0,-,-
0.69726563,0,-,-
0.72515625,0,-,-
0.73910153,0,-,-
0.75304687,0,-,-
0.76001954,0,-,-
0.76699221,0,-,-
0.77396488,0,-,-
0.78093749,0,-,-
0.78296876,306639.73,-,-
0.78500003,613279.46,-,-
0.78500003,613279.46,-,-
0.78645509,613279.46,-,-
0.78791016,613279.46,-,-
0.7913965,613279.46,-,-
0.79488283,613279.46,-,-
0.79836917,613279.46,-,-
0.80185544,613279.46,-,-
0.80534178,613279.46,-,-
0.80882812,613279.46,-,-
0.81580079,613279.46,-,-
0.82277346,613279.46,-,-
0.82974613,613279.46,-,-
0.83671874,613279.46,-,-
0.85066402,613279.46,-,-
0.86460936,613279.46,-,-
0.8785547,613279.46,-,-
0.89249998,613279.46,-,-
0.92039061,613279.46,-,-
0.94828123,613279.46,-,-
0.97617185,613279.46,-,-
1.0040625,613279.46,-,-
1.0598438,613279.46,-,-
1.115625,613279.46,-,-
1.2271875,613279.46,-,-
1.33875,613279.46,-,-
1.3945313,613279.46,-,-
1.4503125,613279.46,-,-
1.5060937,613279.46,-,-
1.561875,613279.46,-,-
1.5897655,613279.46,-,-
1.6176562,613279.46,-,-
1.6455469,613279.46,-,-
1.6734375,613279.46,-,-
1.6873828,613279.46,-,-
1.7013282,613279.46,-,-
1.7152734,613279.46,-,-
1.7292187,613279.46,-,-
1.7361914,613279.46,-,-
1.7431641,613279.46,-,-
1.7501367,613279.46,-,-
1.7571094,613279.46,-,-
1.7640821,613279.46,-,-
1.7710547,613279.46,-,-
1.774541,613279.46,-,-
1.7780273,613279.46,-,-
1.7815137,613279.46,-,-
1.785,613279.46,-,-

