Measured X,Measured Y,EQE_2651 X,EQE_2651 Y
1.005,0.03216417,1,0.05916848
1.01,0.034273229,1.004,0.059981404
1.015,0.030586915,1.008,0.060925256
1.02,0.034744309,1.012,0.061553847
1.025,0.043224606,1.016,0.061950614
1.03,0.046660323,1.02,0.062434183
1.035,0.046918686,1.024,0.062683026
1.04,0.048453817,1.028,0.063030268
1.045,0.049894886,1.032,0.06347563
1.05,0.048045283,1.036,0.06395023
1.055,0.044421709,1.04,0.064524564
1.06,0.046982225,1.044,0.065192059
1.065,0.051877973,1.048,0.066173433
1.07,0.053359962,1.052,0.067070386
1.075,0.052449794,1.056,0.067514198
1.08,0.051245096,1.06,0.067624866
1.085,0.045384097,1.064,0.06752546
1.09,0.046028462,1.068,0.067061498
1.095,0.051106042,1.072,0.066604767
1.1,0.058622406,1.076,0.066532077
1.105,0.059645271,1.08,0.066960501
1.11,0.053589475,1.084,0.067907282
1.115,0.047406287,1.088,0.068842792
1.12,0.051946401,1.092,0.069688827
1.125,0.058988193,1.096,0.070240322
1.13,0.063289892,1.1,0.070241864
1.135,0.065604526,1.104,0.070183254
1.14,0.067334017,1.108,0.070005756
1.145,0.068150696,1.112,0.069757751
1.15,0.068737528,1.116,0.069562799
1.155,0.069168621,1.12,0.06959405
1.16,0.069201909,1.124,0.070140859
1.165,0.068957923,1.128,0.071088142
1.17,0.068268901,1.132,0.072140073
1.175,0.064199629,1.136,0.07317852
1.18,0.057939823,1.14,0.074097026
1.185,0.062130468,1.144,0.074405511
1.19,0.067665924,1.148,0.073996652
1.195,0.071345512,1.152,0.073245176
1.2,0.074596814,1.156,0.072474313
1.205,0.076847946,1.16,0.071951489
1.21,0.078983745,1.164,0.072096681
1.215,0.080157741,1.168,0.073009565
1.22,0.08108127,1.172,0.074547126
1.225,0.080944939,1.176,0.076235501
1.23,0.080104608,1.18,0.077528011
1.235,0.081018886,1.184,0.078282992
1.24,0.081264508,1.188,0.078404718
1.245,0.081318705,1.192,0.078242917
1.25,0.08068715,1.196,0.078192288
1.255,0.080276465,1.2,0.078441263
1.26,0.079209881,1.204,0.079011765
1.265,0.073372913,1.208,0.079919602
1.27,0.070949094,1.212,0.080958591
1.275,0.074637712,1.216,0.08179844
1.28,0.075229453,1.22,0.082386188
1.285,0.074925853,1.224,0.083085871
1.29,0.074460103,1.228,0.083558417
1.295,0.074308733,1.232,0.083704616
1.3,0.075047109,1.236,0.083654061
1.305,0.07643247,1.24,0.083553636
1.31,0.077999687,1.244,0.083520188
1.315,0.079498433,1.248,0.0834584
1.32,0.080878516,1.252,0.083160159
1.325,0.082185685,1.256,0.082608503
1.33,0.082749267,1.26,0.081904631
1.335,0.084305719,1.264,0.080967179
1.34,0.085570915,1.268,0.079645375
1.345,0.086352968,1.272,0.077980828
1.35,0.087513506,1.276,0.076335429
1.355,0.087965095,1.28,0.075040722
1.36,0.087923844,1.284,0.074171701
1.365,0.08819617,1.288,0.073853368
1.37,0.086995305,1.292,0.074010887
1.375,0.087466302,1.296,0.074551402
1.38,0.088831986,1.3,0.07541807
1.385,0.089727174,1.304,0.076417188
1.39,0.090436201,1.308,0.077457836
1.395,0.090419695,1.312,0.078416871
1.4,0.090248074,1.316,0.079393592
1.405,0.091045904,1.32,0.080507257
1.41,0.090945935,1.324,0.081543845
1.415,0.090475437,1.328,0.082692261
1.42,0.090350677,1.332,0.083915059
1.425,0.090225915,1.336,0.085026957
1.43,0.090242878,1.34,0.085945106
1.435,0.090380106,1.344,0.086791166
1.44,0.090427594,1.348,0.087473587
1.445,0.09058696,1.352,0.088219012
1.45,0.091084492,1.356,0.088867496
1.455,0.090323479,1.36,0.08945811
1.46,0.090207153,1.364,0.089967168
1.465,0.090720211,1.368,0.090303119
1.47,0.090821609,1.372,0.090505735
1.475,0.090298454,1.376,0.09070274
1.48,0.090086361,1.38,0.090976485
1.485,0.089805753,1.384,0.091261331
1.49,0.089145317,1.388,0.09143637
1.495,0.088722272,1.392,0.091701337
1.5,0.088574815,1.396,0.092183427
1.505,0.088431683,1.4,0.092612161
1.51,0.089493485,1.404,0.092719537
1.515,0.089445396,1.408,0.092766235
1.52,0.08961044,1.412,0.092781859
1.525,0.089679809,1.416,0.092739459
1.53,0.089319607,1.42,0.092656207
1.535,0.089051535,1.424,0.092534629
1.54,0.088939971,1.428,0.092390216
1.545,0.088035972,1.432,0.09224901
1.55,0.087083568,1.436,0.092141535
1.555,0.087126913,1.44,0.092074781
1.56,0.086473424,1.444,0.09205001
1.565,0.085750064,1.448,0.092050774
1.57,0.085290171,1.452,0.092037486
1.575,0.084812047,1.456,0.091976113
1.58,0.083577204,1.46,0.091838622
1.585,0.083778389,1.464,0.09158958
1.59,0.083202066,1.468,0.091198498
1.595,0.082603523,1.472,0.090667191
1.6,0.082040157,1.476,0.090045785
1.605,0.082038131,1.48,0.089412651
1.61,0.080203314,1.484,0.088825328
1.615,0.080383723,1.488,0.08834351
1.62,0.080727665,1.492,0.088027488
