Measured X,Measured Y,Simulation  X,Simulation  Y
1.005,0.13074146,1,0.081139605
1.01,0.13779242,1.004,0.083553098
1.015,0.12124479,1.008,0.086131325
1.02,0.13570309,1.012,0.088068924
1.025,0.17455734,1.016,0.089496462
1.03,0.19331443,1.02,0.09228886
1.035,0.1948773,1.024,0.094655662
1.04,0.20116483,1.028,0.097774389
1.045,0.20967098,1.032,0.10085138
1.05,0.19821306,1.036,0.10347451
1.055,0.17840212,1.04,0.10556707
1.06,0.19102394,1.044,0.10734136
1.065,0.21787502,1.048,0.10978548
1.07,0.228496,1.052,0.11228795
1.075,0.22372385,1.056,0.1139904
1.08,0.21543663,1.06,0.11575239
1.085,0.18441458,1.064,0.11843258
1.09,0.18517621,1.068,0.1210703
1.095,0.2070868,1.072,0.12371149
1.1,0.24655604,1.076,0.12626519
1.105,0.25622941,1.08,0.12858176
1.11,0.22188688,1.084,0.13047905
1.115,0.19247734,1.088,0.13181813
1.12,0.21154288,1.092,0.13288539
1.125,0.24761196,1.096,0.134783
1.13,0.27108173,1.1,0.13673778
1.135,0.28067216,1.104,0.1394337
1.14,0.28666958,1.108,0.14246125
1.145,0.29359005,1.112,0.14516101
1.15,0.29748709,1.116,0.14712183
1.155,0.30257557,1.12,0.14892752
1.16,0.30728814,1.124,0.15174451
1.165,0.30441234,1.128,0.15532241
1.17,0.29746399,1.132,0.15930694
1.175,0.26830841,1.136,0.16330815
1.18,0.23902315,1.14,0.1678539
1.185,0.25401799,1.144,0.17211756
1.19,0.28038664,1.148,0.1760773
1.195,0.30304939,1.152,0.18000084
1.2,0.32549731,1.156,0.18414122
1.205,0.33875829,1.16,0.18824555
1.21,0.34684269,1.164,0.19215902
1.215,0.35058947,1.168,0.19627916
1.22,0.35322926,1.172,0.20022792
1.225,0.35304649,1.176,0.20361247
1.23,0.34873602,1.18,0.20607632
1.235,0.35887402,1.184,0.20845647
1.24,0.36704234,1.188,0.21072738
1.245,0.36987885,1.192,0.21303318
1.25,0.36937176,1.196,0.21577501
1.255,0.36826036,1.2,0.21846816
1.26,0.36254061,1.204,0.22109104
1.265,0.32059941,1.208,0.22374976
1.27,0.30867088,1.212,0.22621431
1.275,0.34405014,1.216,0.22839488
1.28,0.36585206,1.22,0.2298262
1.285,0.37331712,1.224,0.23273598
1.29,0.3764242,1.228,0.23549537
1.295,0.37862203,1.232,0.23719337
1.3,0.38125742,1.236,0.23822208
1.305,0.38279929,1.24,0.23906944
1.31,0.38582188,1.244,0.24070094
1.315,0.38825466,1.248,0.24214484
1.32,0.39005027,1.252,0.24344071
1.325,0.39284057,1.256,0.24435639
1.33,0.39534618,1.26,0.24594327
1.335,0.39854431,1.264,0.24832792
1.34,0.3996253,1.268,0.25010418
1.345,0.40237034,1.272,0.25159681
1.35,0.40608157,1.276,0.2522489
1.355,0.40674136,1.28,0.25358933
1.36,0.40762001,1.284,0.25534718
1.365,0.40697041,1.288,0.25802895
1.37,0.38898259,1.292,0.26079477
1.375,0.39314991,1.296,0.26347292
1.38,0.41395,1.3,0.26626994
1.385,0.42361879,1.304,0.2692164
1.39,0.42828291,1.308,0.27177317
1.395,0.42950382,1.312,0.2742939
1.4,0.42971242,1.316,0.27703209
1.405,0.43193821,1.32,0.27991859
1.41,0.43122164,1.324,0.28298345
1.415,0.43008647,1.328,0.28682112
1.42,0.42416227,1.332,0.29095114
1.425,0.42447666,1.336,0.2940002
1.43,0.4263824,1.34,0.29682261
1.435,0.43135325,1.344,0.29919744
1.44,0.43360955,1.348,0.31898106
1.445,0.43624118,1.352,0.32274202
1.45,0.44014683,1.356,0.32677145
1.455,0.44013962,1.36,0.33134372
1.46,0.44200104,1.364,0.33558888
1.465,0.44319491,1.368,0.33949812
1.47,0.44271448,1.372,0.34246696
1.475,0.43779233,1.376,0.34486355
1.48,0.4338436,1.38,0.34752082
1.485,0.44158359,1.384,0.35033787
1.49,0.4456913,1.388,0.35318241
1.495,0.44907753,1.392,0.35597196
1.5,0.44968352,1.396,0.35989739
1.505,0.45079381,1.4,0.36394986
1.51,0.45340125,1.404,0.36708757
1.515,0.45280676,1.408,0.37013657
1.52,0.45422673,1.412,0.37363365
1.525,0.4530488,1.416,0.37715671
1.53,0.45242128,1.42,0.38017442
1.535,0.45118662,1.424,0.3831585
1.54,0.44932862,1.428,0.38626517
1.545,0.44783784,1.432,0.38943312
1.55,0.44622537,1.436,0.39212875
1.555,0.44546592,1.44,0.3947908
1.56,0.44622729,1.444,0.39735187
1.565,0.44213842,1.448,0.39993376
1.57,0.44174996,1.452,0.40326169
1.575,0.44031558,1.456,0.4071368
1.58,0.4391783,1.46,0.41072766
1.585,0.43806361,1.464,0.41388843
1.59,0.43858725,1.468,0.4174618
1.595,0.44129963,1.472,0.42161037
1.6,0.43842165,1.476,0.42551811
1.605,0.44243856,1.48,0.42827569
1.61,0.43758572,1.484,0.43092239
1.615,0.43994004,1.488,0.434178
1.62,0.43597515,1.492,0.43730286
1.625,0.43118924,1.496,0.44036713
1.63,0.42990267,1.5,0.44339879
1.635,0.42375005,1.504,0.44594167
1.64,0.42366212,1.508,0.44797099
1.645,0.42126445,1.512,0.44995466
1.65,0.41794121,1.516,0.45248014
1.655,0.40689376,1.52,0.45476984
1.66,0.39840665,1.524,0.45628795
1.665,0.38996117,1.528,0.45729818
1.67,0.37328156,1.532,0.45724031
1.675,0.33905936,1.536,0.45299262
1.68,0.31151787,1.54,0.44725971
1.685,0.27341003,1.544,0.44185714
1.69,0.23211244,1.548,0.43646323
1.695,0.18791891,1.552,0.43179605
1.7,0.14843936,1.556,0.42758062
1.705,0.1144994,1.56,0.42347263
1.71,0.091936026,1.564,0.41940331
1.715,0.07185542,1.568,0.41547251
1.72,0.057619118,1.572,0.41093929
1.725,0.046932753,1.576,0.40634982
1.73,0.03521185,1.58,0.40156523
1.735,0.028616659,1.584,0.39629098
1.74,0.023165981,1.588,0.39102179
1.745,0.017438087,1.592,0.38556314
1.75,0.01469525,1.596,0.38001906
1.755,0.012008734,1.6,0.37437155
1.76,0.0083778147,1.604,0.36847518
1.765,0.006935701,1.608,0.36248068
1.77,0.0065175775,1.612,0.35602264
1.775,0.0041975041,1.616,0.34914794
1.78,0.004047953,1.62,0.34207072
1.785,0.0043581698,1.624,0.33250674
1.79,0.0028629436,1.628,0.32256392
1.795,0.003256115,1.632,0.31256515
1.8,0.0029015333,1.636,0.30298056
-,-,1.64,0.29313319
-,-,1.644,0.28207553
-,-,1.648,0.27012511
-,-,1.652,0.25800867
-,-,1.656,0.24361022
-,-,1.66,0.22875058
-,-,1.664,0.2136313
-,-,1.668,0.19640495
-,-,1.672,0.17911013
-,-,1.676,0.16211436
-,-,1.68,0.14609319
-,-,1.684,0.12992903
-,-,1.688,0.11424897
-,-,1.692,0.099286415
-,-,1.696,0.084218211
-,-,1.7,0.071666862
-,-,1.704,0.061250893
-,-,1.708,0.051074119
-,-,1.712,0.044043002
-,-,1.716,0.038948168
-,-,1.72,0.033820102
-,-,1.724,0.02961501
-,-,1.728,0.025862654
-,-,1.732,0.021848361
-,-,1.736,0.019622855
-,-,1.74,0.018374316
-,-,1.744,0.017070787
-,-,1.748,0.015520158
-,-,1.752,0.013834161
-,-,1.756,0.012201023
-,-,1.76,0.011101509
-,-,1.764,0.010645553
-,-,1.768,0.010221595
-,-,1.772,0.00991476
-,-,1.776,0.0099392147
-,-,1.78,0.0099253546
-,-,1.784,0.0097738544
-,-,1.788,0.0090924199
-,-,1.792,0.0083528678
-,-,1.796,0.0075955643
-,-,1.8,0.0069655276

