Measured X,Measured Y,IQE_2651 X,IQE_2651 Y
1.005,0.036411939,1,0.065876894
1.01,0.037646596,1.004,0.066137108
1.015,0.032822644,1.008,0.066372934
1.02,0.036832598,1.012,0.066369593
1.025,0.045540478,1.016,0.066371955
1.03,0.049220361,1.02,0.066713186
1.035,0.049622132,1.024,0.066964549
1.04,0.051281413,1.028,0.06737217
1.045,0.052704539,1.032,0.067816652
1.05,0.050588896,1.036,0.068093396
1.055,0.046707753,1.04,0.068202948
1.06,0.049496469,1.044,0.06817936
1.065,0.055044803,1.048,0.068377331
1.07,0.057175141,1.052,0.068562106
1.075,0.05668556,1.056,0.068565973
1.08,0.055508741,1.06,0.068688096
1.085,0.048869909,1.064,0.069127718
1.09,0.04926406,1.068,0.069579323
1.095,0.054370233,1.072,0.070042283
1.1,0.062530766,1.076,0.07047825
1.105,0.06434257,1.08,0.070751956
1.11,0.058640605,1.084,0.070977289
1.115,0.052231532,1.088,0.070983675
1.12,0.057342401,1.092,0.071177383
1.125,0.0648613,1.096,0.071644478
1.13,0.068990836,1.1,0.072148079
1.135,0.070795237,1.104,0.072987203
1.14,0.072130058,1.108,0.073832141
1.145,0.072834902,1.112,0.074485933
1.15,0.073730597,1.116,0.074897312
1.155,0.074765367,1.12,0.075144595
1.16,0.075325633,1.124,0.075516905
1.165,0.075132655,1.128,0.075930431
1.17,0.073705949,1.132,0.076220865
1.175,0.068024749,1.136,0.076516954
1.18,0.060544234,1.14,0.076993599
1.185,0.064303489,1.144,0.077413701
1.19,0.069842567,1.148,0.077752437
1.195,0.073907118,1.152,0.078205402
1.2,0.077514273,1.156,0.078706898
1.205,0.079619361,1.16,0.079034635
1.21,0.081090808,1.164,0.079282771
1.215,0.081576869,1.168,0.079453268
1.22,0.082154124,1.172,0.079594125
1.225,0.082157261,1.176,0.079680835
1.23,0.081744283,1.18,0.079731575
1.235,0.083233864,1.184,0.079978187
1.24,0.08414021,1.188,0.080324139
1.245,0.084895595,1.192,0.080777601
1.25,0.084932522,1.196,0.081292464
1.255,0.085308642,1.2,0.081721842
1.26,0.085172398,1.204,0.081988658
1.265,0.080115157,1.208,0.08224732
1.27,0.078277634,1.212,0.082521121
1.275,0.083642661,1.216,0.082691742
1.28,0.085686125,1.22,0.082827079
1.285,0.086358636,1.224,0.083309592
1.29,0.08619312,1.228,0.083767778
1.295,0.085728938,1.232,0.084057265
1.3,0.085654693,1.236,0.084269001
1.305,0.08603675,1.24,0.084519662
1.31,0.086424551,1.244,0.084906212
1.315,0.086677726,1.248,0.085332319
1.32,0.086960397,1.252,0.085626903
1.325,0.087309132,1.256,0.085855943
1.33,0.08695266,1.26,0.086211294
1.335,0.087680318,1.264,0.086654036
1.34,0.088193907,1.268,0.086973954
1.345,0.088318589,1.272,0.087033731
1.35,0.088948195,1.276,0.086990751
1.355,0.089032859,1.28,0.087017008
1.36,0.08878074,1.284,0.087035336
1.365,0.088969623,1.288,0.087136252
1.37,0.087783171,1.292,0.087239762
1.375,0.08829052,1.296,0.087336043
1.38,0.089775923,1.3,0.087511611
1.385,0.09076013,1.304,0.087676444
1.39,0.091452384,1.308,0.08783945
1.395,0.091380813,1.312,0.08791262
1.4,0.091128585,1.316,0.088010931
1.405,0.091853551,1.32,0.088243811
1.41,0.091718436,1.324,0.088354551
1.415,0.09124281,1.328,0.088554425
1.42,0.091075609,1.332,0.088821749
1.425,0.090955779,1.336,0.088990329
1.43,0.090991453,1.34,0.089011963
1.435,0.09116903,1.344,0.089050333
1.44,0.091247537,1.348,0.089059654
1.445,0.091415169,1.352,0.089255792
1.45,0.091912789,1.356,0.08950988
1.455,0.091113667,1.36,0.089861246
1.46,0.090964132,1.364,0.09026139
1.465,0.09154211,1.368,0.090572791
1.47,0.091804552,1.372,0.090785661
1.475,0.091538802,1.376,0.09099117
1.48,0.091489796,1.38,0.091253132
1.485,0.091499873,1.384,0.091502139
1.49,0.091176927,1.388,0.091626248
1.495,0.090992529,1.392,0.091842586
1.5,0.090965709,1.396,0.092286058
1.505,0.090778622,1.4,0.092689281
1.51,0.091678682,1.404,0.092788595
1.515,0.091343191,1.408,0.092848551
1.52,0.091153286,1.412,0.092905368
1.525,0.090866883,1.416,0.092938439
1.53,0.090231352,1.42,0.092965455
1.535,0.089815588,1.424,0.092979906
1.54,0.089704532,1.428,0.092979146
1.545,0.088831915,1.432,0.092966297
1.55,0.087932224,1.436,0.092951093
1.555,0.088176728,1.44,0.092927867
1.56,0.087803886,1.444,0.09289721
1.565,0.087383995,1.448,0.092855143
1.57,0.087290547,1.452,0.092787002
1.575,0.0871908,1.456,0.092694015
1.58,0.086238653,1.46,0.092587526
1.585,0.086717617,1.464,0.092467951
1.59,0.086241806,1.468,0.092327363
1.595,0.085495127,1.472,0.092165694
1.6,0.084742922,1.476,0.092002158
1.605,0.084526287,1.48,0.09185737
1.61,0.082407419,1.484,0.091712236
1.615,0.082251848,1.488,0.09155089
1.62,0.0821853,1.492,0.091378294
1.625,0.080405514,1.496,0.09118722
1.63,0.080161347,1.5,0.090975344
1.635,0.07832687,1.504,0.090746231
1.64,0.07659669,1.508,0.09050162
1.645,0.075176698,1.512,0.090232259
1.65,0.072468236,1.516,0.089926045
1.655,0.068866985,1.52,0.089595201
1.66,0.064917935,1.524,0.089244843
1.665,0.060533595,1.528,0.088871391
1.67,0.055677795,1.532,0.088463108
1.675,0.047066372,1.536,0.088020496
1.68,0.042408291,1.54,0.087558388
1.685,0.039471475,1.544,0.087082829
1.69,0.035743092,1.548,0.086583615
1.695,0.030715144,1.552,0.08606364
1.7,0.026836517,1.556,0.085514174
1.705,0.022207248,1.56,0.084931914
1.71,0.018888231,1.564,0.084323207
1.715,0.015371432,1.568,0.083703944
1.72,0.013977217,1.572,0.083082039
1.725,0.010456909,1.576,0.082473333
1.73,0.0086113424,1.58,0.081877156
1.735,0.0080387338,1.584,0.081278554
1.74,0.0066270289,1.588,0.08065907
1.745,0.0053933057,1.592,0.079993978
1.75,0.0050871759,1.596,0.079262772
1.755,0.0040832798,1.6,0.078450541
1.76,0.0023058656,1.604,0.077550854
1.765,0.0020586607,1.608,0.076568097
1.77,0.0029116866,1.612,0.075504482
1.775,0.0030423616,1.616,0.074369626
1.78,0.0021649698,1.62,0.07317483
1.785,0.0031554374,1.624,0.071900193
1.79,0.002385722,1.628,0.070573352
1.795,0.0020761877,1.632,0.069197482
1.8,0.0016419342,1.636,0.067775152
-,-,1.64,0.066294839
-,-,1.644,0.064737182
-,-,1.648,0.063095599
-,-,1.652,0.061365378
-,-,1.656,0.059508087
-,-,1.66,0.057532383
-,-,1.664,0.055420837
-,-,1.668,0.053120053
-,-,1.672,0.050628334
-,-,1.676,0.047854877
-,-,1.68,0.044754334
-,-,1.684,0.041148625
-,-,1.688,0.034196609
-,-,1.692,0.026812154
-,-,1.696,0.021502008
-,-,1.7,0.017071565
-,-,1.704,0.013827047
-,-,1.708,0.010791887
-,-,1.712,0.0083931984
-,-,1.716,0.0065059559
-,-,1.72,0.0047230165
-,-,1.724,0.0036056532
-,-,1.728,0.0030902135
-,-,1.732,0.0026562452
-,-,1.736,0.0023687313
-,-,1.74,0.0022186514
-,-,1.744,0.0020747077
-,-,1.748,0.001902862
-,-,1.752,0.001710758
-,-,1.756,0.0015120891
-,-,1.76,0.0013738712
-,-,1.764,0.0013037729
-,-,1.768,0.0012283591
-,-,1.772,0.0011711468
-,-,1.776,0.0011530673
-,-,1.78,0.0011341661
-,-,1.784,0.0011020078
-,-,1.788,0.0010070237
-,-,1.792,0.00091154103
-,-,1.796,0.00081541873
