Measured X,Measured Y,IQE  X,IQE  Y
1.005,0.14644815,1,0.091129485
1.01,0.15384061,1.004,0.093453754
1.015,0.1347876,1.008,0.095748365
1.02,0.15010915,1.012,0.097150532
1.025,0.19154288,1.016,0.097860859
1.03,0.21016994,1.02,0.09996969
1.035,0.21001475,1.024,0.10160255
1.04,0.21513325,1.028,0.10408068
1.045,0.22264036,1.032,0.10661118
1.05,0.20929924,1.036,0.1088027
1.055,0.18777914,1.04,0.11058902
1.06,0.20077651,1.044,0.11217761
1.065,0.22892151,1.048,0.11457498
1.07,0.24029127,1.052,0.11710721
1.075,0.23575363,1.056,0.11884438
1.08,0.22761949,1.06,0.12067502
1.085,0.1955216,1.064,0.12349978
1.09,0.19682238,1.068,0.12632508
1.095,0.22103404,1.072,0.12922775
1.1,0.26436178,1.076,0.13214879
1.105,0.27628469,1.08,0.13496806
1.11,0.24061152,1.084,0.13751859
1.115,0.20947736,1.088,0.13965402
1.12,0.23093639,1.092,0.14165011
1.125,0.27097414,1.096,0.14464118
1.13,0.29690899,1.1,0.14775125
1.135,0.30705949,1.104,0.15165312
1.14,0.31270774,1.108,0.15582559
1.145,0.31875477,1.112,0.1594498
1.15,0.32111476,1.116,0.16197838
1.155,0.32442717,1.12,0.16400658
1.16,0.32719211,1.124,0.16681025
1.165,0.32200149,1.128,0.17011109
1.17,0.31278085,1.132,0.17353934
1.175,0.28065224,1.136,0.17672081
1.18,0.24926966,1.14,0.18028669
1.185,0.26430461,1.144,0.18342892
1.19,0.29110939,1.148,0.18622412
1.195,0.31407807,1.152,0.18903698
1.2,0.33676434,1.156,0.19219447
1.205,0.34987327,1.16,0.19547967
1.21,0.35756638,1.164,0.19875586
1.215,0.36077534,1.168,0.20243244
1.22,0.36279747,1.172,0.20610201
1.225,0.36192182,1.176,0.20932372
1.23,0.35701477,1.18,0.21167698
1.235,0.36714658,1.184,0.21396695
1.24,0.37558574,1.188,0.21611843
1.245,0.37899215,1.192,0.21824825
1.25,0.37929165,1.196,0.22075737
1.255,0.37934489,1.2,0.22314673
1.26,0.37497071,1.204,0.22541403
1.265,0.33317536,1.208,0.2277018
1.27,0.32166818,1.212,0.2298178
1.275,0.35990524,1.216,0.23171904
1.28,0.38415959,1.22,0.23298241
1.285,0.39330328,1.224,0.23590475
1.29,0.39732241,1.228,0.23886468
1.295,0.40009342,1.232,0.24095803
1.3,0.40286657,1.236,0.24257589
1.305,0.40432635,1.24,0.24418844
1.31,0.40688904,1.244,0.24674794
1.315,0.40875484,1.248,0.24922175
1.32,0.40971431,1.252,0.25159816
1.325,0.41161337,1.256,0.25358036
1.33,0.41312254,1.26,0.25621429
1.335,0.41528116,1.264,0.25959642
1.34,0.41530818,1.268,0.26220414
1.345,0.41713837,1.272,0.26433936
1.35,0.42007408,1.276,0.26538441
1.355,0.41998561,1.28,0.26695305
1.36,0.4201793,1.284,0.26876334
1.365,0.4187033,1.288,0.27136287
1.37,0.3996393,1.292,0.27388061
1.375,0.40328852,1.296,0.27616106
1.38,0.42401734,1.3,0.27844925
1.385,0.43362223,1.304,0.28080183
1.39,0.43783522,1.308,0.28268501
1.395,0.43856727,1.312,0.28449376
1.4,0.43813683,1.316,0.28651319
1.405,0.43981493,1.32,0.28869028
1.41,0.43865942,1.324,0.29107091
1.415,0.43711064,1.328,0.29427182
1.42,0.43071837,1.332,0.2978031
1.425,0.43088674,1.336,0.30027083
1.43,0.43269537,1.34,0.30253939
1.435,0.43777759,1.344,0.30437689
