Measured X,Measured Y,J_n2815 X,J_n2815 Y
-2.3,1.0438606,-2.3,8.39159e-07
-2.29,1.0049353,-2.23097,8.3703041e-07
-2.28,0.96705062,-2.16194,8.346886e-07
-2.27,0.92912828,-2.09291,8.3210874e-07
-2.26,0.89347094,-2.02388,8.2929352e-07
-2.25,0.85897984,-1.95485,8.2625857e-07
-2.24,0.82438516,-1.88582,8.2302564e-07
-2.23,0.79198859,-1.81679,8.1961522e-07
-2.22,0.76049391,-1.74776,8.1603849e-07
-2.21,0.73012703,-1.67873,8.123015e-07
-2.2,0.69971781,-1.6097,8.0842615e-07
-2.19,0.67128406,-1.54067,8.0444903e-07
-2.18,0.64374125,-1.47164,8.0032018e-07
-2.17,0.61627516,-1.40261,7.9562969e-07
-2.16,0.59057969,-1.33358,7.8904365e-07
-2.15,0.56577516,-1.26455,7.770967e-07
-2.14,0.54100266,-1.19552,7.5193061e-07
-2.13,0.51791141,-1.12649,7.0042988e-07
-2.12,0.49561109,-1.05746,6.1689506e-07
-2.11,0.47413609,-0.98843,5.2694108e-07
-2.1,0.45273188,-0.9194,4.6414402e-07
-2.09,0.43277391,-0.85037,4.3049216e-07
-2.08,0.41354078,-0.78134,4.126362e-07
-2.07,0.394445,-0.71231,4.0118102e-07
-2.06,0.37666453,-0.64328,3.9181604e-07
-2.05,0.35952766,-0.57425,3.814512e-07
-2.04,0.34251922,-0.50522,3.6408203e-07
-2.03,0.32671625,-0.43619,3.2942755e-07
-2.02,0.31153484,-0.36716,2.7556848e-07
-2.01,0.29692438,-0.29813,2.2241058e-07
-2,0.28244719,-0.2291,1.8370213e-07
-1.99,0.26903125,-0.16007,1.510711e-07
-1.98,0.25614437,-0.09104,1.0608801e-07
-1.97,0.24336406,-0.02201,3.4846613e-08
-1.96,0.23153172,0.001,-1.8662627e-09
-1.95,0.22035031,0.001,-1.8687713e-09
-1.94,0.20912,0.03067,6.2420361e-07
-1.93,0.19874672,0.06034,5.0004936e-07
-1.92,0.18879156,0.09001,-2.6003787e-07
-1.91,0.17929156,0.11968,-9.0274951e-07
-1.9,0.16989109,0.14935,-1.8505923e-06
-1.89,0.16119844,0.17902,-3.9579539e-06
-1.88,0.15312054,0.20869,-9.0479655e-06
-1.87,0.14511646,0.23836,-2.2301733e-05
-1.86,0.13748901,0.26803,-5.8973318e-05
-1.85,0.1302118,0.2977,-0.0001651213
-1.84,0.12319296,0.32737,-0.00048219466
-1.83,0.11657599,0.35704,-0.0014488087
-1.82,0.11027093,0.38671,-0.0044260715
-1.81,0.10427084,0.41638,-0.013567237
-1.8,0.098490542,0.44605,-0.040784925
-1.79,0.09304837,0.47572,-0.11477732
-1.78,0.087871271,0.50539,-0.28195717
-1.77,0.082898349,0.53506,-0.57726308
-1.76,0.078222604,0.56473,-0.99811902
-1.75,0.073777818,0.5944,-1.5195381
-1.74,0.069511406,0.62407,-2.1149012
-1.73,0.065507661,0.65374,-2.7632885
-1.72,0.061709724,0.68341,-3.4498648
-1.71,0.058103896,0.71308,-4.1644535
-1.7,0.054642406,0.74275,-4.9000779
-1.69,0.051404797,0.77242,-5.6518849
-1.68,0.048342422,0.80209,-6.4164267
-1.67,0.045407594,0.83176,-7.1911984
-1.66,0.042659896,0.86143,-7.974339
-1.65,0.040059984,0.8911,-8.7644375
-1.64,0.037601844,0.92077,-9.5604036
-1.63,0.035252422,0.95044,-10.361381
-1.62,0.033056953,0.98011,-11.166684
-1.61,0.030984948,0.99,-11.43598
-1.6,0.029007276,-,-
-1.59,0.027162802,-,-
-1.58,0.025422677,-,-
-1.57,0.023765469,-,-
-1.56,0.022221104,-,-
-1.55,0.020767396,-,-
-1.54,0.019400182,-,-
-1.53,0.018099875,-,-
-1.52,0.016890208,-,-
-1.51,0.015754062,-,-
-1.5,0.014674917,-,-
-1.49,0.013673145,-,-
-1.48,0.012732748,-,-
-1.47,0.0118416,-,-
-1.46,0.011015132,-,-
-1.45,0.010240981,-,-
-1.44,0.0095158641,-,-
-1.43,0.0088297911,-,-
-1.42,0.0081947609,-,-
-1.41,0.0076013839,-,-
-1.4,0.0070403354,-,-
-1.39,0.0065223714,-,-
-1.38,0.0060388391,-,-
-1.37,0.0055829151,-,-
-1.36,0.0051627536,-,-
-1.35,0.0047712406,-,-
-1.34,0.0044068172,-,-
-1.33,0.0040636182,-,-
-1.32,0.0037485646,-,-
-1.31,0.0034556229,-,-
-1.3,0.0031805281,-,-
-1.29,0.0029281255,-,-
-1.28,0.0026937969,-,-
-1.27,0.0024744604,-,-
-1.26,0.00227355,-,-
-1.25,0.0020872344,-,-
-1.24,0.0019148083,-,-
-1.23,0.0017537245,-,-
-1.22,0.0016063771,-,-
-1.21,0.0014704037,-,-
-1.2,0.0013434984,-,-
-1.19,0.0012279731,-,-
-1.18,0.0011212349,-,-
-1.17,0.0010219746,-,-
-1.16,0.00093154755,-,-
-1.15,0.00084854193,-,-
-1.14,0.00077239234,-,-
-1.13,0.00070146526,-,-
-1.12,0.00063746224,-,-
-1.11,0.00057854792,-,-
-1.1,0.00052398943,-,-
-1.09,0.00047495719,-,-
-1.08,0.00042998005,-,-
-1.07,0.00038854161,-,-
-1.06,0.00035086453,-,-
-1.05,0.00031664672,-,-
-1.04,0.00028572995,-,-
-1.03,0.0002570926,-,-
-1.02,0.0002313399,-,-
-1.01,0.00020793568,-,-
-1,0.0001863462,-,-
-0.99,0.00016745643,-,-
-0.98,0.00014961878,-,-
-0.97,0.00013848441,-,-
-0.96,0.00012592984,-,-
-0.95,0.00011285764,-,-
-0.94,0.00010109323,-,-
-0.93,9.0459342e-05,-,-
-0.92,8.0839569e-05,-,-
-0.91,7.2198587e-05,-,-
-0.9,6.8378961e-05,-,-
-0.89,6.1393638e-05,-,-
-0.88,5.5126083e-05,-,-
-0.87,4.9493591e-05,-,-
-0.86,4.446431e-05,-,-
-0.85,3.9940417e-05,-,-
-0.84,3.5890716e-05,-,-
-0.83,3.2250026e-05,-,-
-0.82,2.900619e-05,-,-
-0.81,2.6126208e-05,-,-
-0.8,2.4452086e-05,-,-
-0.79,2.2118836e-05,-,-
-0.78,2.002943e-05,-,-
-0.77,1.815418e-05,-,-
-0.76,1.6477156e-05,-,-
-0.75,1.4978219e-05,-,-
-0.74,1.3654255e-05,-,-
-0.73,1.245684e-05,-,-
-0.72,1.1387193e-05,-,-
-0.71,1.0419855e-05,-,-
-0.7,9.5561746e-06,-,-
-0.69,8.8005301e-06,-,-
-0.68,8.1274238e-06,-,-
-0.67,7.5133281e-06,-,-
-0.66,6.9646152e-06,-,-
-0.65,6.4567129e-06,-,-
-0.64,6.0250328e-06,-,-
-0.63,5.6219504e-06,-,-
-0.62,5.251466e-06,-,-
-0.61,4.9160664e-06,-,-
-0.6,4.6184582e-06,-,-
-0.59,4.3514207e-06,-,-
-0.58,4.082627e-06,-,-
-0.57,3.8527387e-06,-,-
-0.56,3.6380508e-06,-,-
-0.55,3.4335391e-06,-,-
-0.54,3.2520797e-06,-,-
-0.53,3.0781008e-06,-,-
-0.52,2.9151355e-06,-,-
-0.51,2.7640234e-06,-,-
-0.5,2.6313602e-06,-,-
-0.49,2.5032812e-06,-,-
-0.48,2.3792473e-06,-,-
-0.47,2.2734219e-06,-,-
-0.46,2.1639496e-06,-,-
-0.45,2.0571105e-06,-,-
-0.44,1.9669711e-06,-,-
-0.43,1.8771e-06,-,-
-0.42,1.7876258e-06,-,-
-0.41,1.7065969e-06,-,-
-0.4,1.6327027e-06,-,-
-0.39,1.5574221e-06,-,-
-0.38,1.4815254e-06,-,-
-0.37,1.413615e-06,-,-
-0.36,1.352497e-06,-,-
-0.35,1.2893706e-06,-,-
-0.34,1.2306035e-06,-,-
-0.33,1.1745007e-06,-,-
-0.32,1.1201751e-06,-,-
-0.31,1.067456e-06,-,-
-0.3,1.0175629e-06,-,-
-0.29,9.6969469e-07,-,-
-0.28,9.2448082e-07,-,-
-0.27,8.825018e-07,-,-
-0.26,8.3985473e-07,-,-
-0.25,7.9759074e-07,-,-
-0.24,7.5986633e-07,-,-
-0.23,7.2356984e-07,-,-
-0.22,6.8810164e-07,-,-
-0.21,6.5296066e-07,-,-
-0.2,6.2063301e-07,-,-
-0.19,5.8835758e-07,-,-
-0.18,5.5687062e-07,-,-
-0.17,5.2827852e-07,-,-
-0.16,4.9944984e-07,-,-
-0.15,4.723966e-07,-,-
-0.14,4.4537852e-07,-,-
-0.13,4.196973e-07,-,-
-0.12,3.9383168e-07,-,-
-0.11,3.6975797e-07,-,-
-0.1,3.4458828e-07,-,-
-0.09,3.2028297e-07,-,-
-0.08,2.9538633e-07,-,-
-0.07,2.6981578e-07,-,-
-0.06,2.4275535e-07,-,-
-0.05,2.1394383e-07,-,-
-0.04,1.8237074e-07,-,-
-0.03,1.464871e-07,-,-
-0.02,1.0545543e-07,-,-
-0.01,5.6595199e-08,-,-
0.01,7.1293081e-08,-,-
0.02,1.5716622e-07,-,-
0.03,2.6557484e-07,-,-
0.04,4.0250006e-07,-,-
0.05,5.7723678e-07,-,-
0.06,8.0082981e-07,-,-
0.07,1.0871353e-06,-,-
0.08,1.4542702e-06,-,-
0.09,1.9249288e-06,-,-
0.1,2.5278713e-06,-,-
0.11,3.2995866e-06,-,-
0.12,4.2879791e-06,-,-
0.13,5.5479278e-06,-,-
0.14,7.1549872e-06,-,-
0.15,9.1954606e-06,-,-
0.16,1.1785515e-05,-,-
0.17,1.5063022e-05,-,-
0.18,1.9209506e-05,-,-
0.19,2.4417966e-05,-,-
0.2,3.0988106e-05,-,-
0.21,3.9253269e-05,-,-
0.22,4.9604016e-05,-,-
0.23,6.2594366e-05,-,-
0.24,7.8861519e-05,-,-
0.25,9.9125359e-05,-,-
0.26,0.00012542412,-,-
0.27,0.0001569195,-,-
