Measured X,Measured Y,J_n2545 X,J_n2545 Y
-0.04,0.00068989922,0,0.0042751664
-0.03,0.00067172766,0.06,0.0042744485
-0.02,0.00066777359,0.1784,0.0042756721
-0.01,0.00066619344,0.410464,0.0042755215
0,0.00066698094,0.6,0.0042592376
0.01,0.00085430047,0.61,0.0042533836
0.02,0.0009444,0.62,0.0042436571
0.03,0.00076499016,0.63,0.0042311097
0.04,0.00076894141,0.64,0.0042117523
0.05,0.00072310125,0.65,0.0041856245
0.06,0.00069781062,0.66,0.0041473203
0.07,0.00068674484,0.67,0.0040950264
0.08,0.00067330672,0.68,0.0040216355
0.09,0.0010566364,0.69,0.0039218698
0.1,0.00099262062,0.7,0.0037898602
0.11,0.00063536734,0.71,0.0036153841
0.12,0.00066065687,0.72,0.0033901643
0.13,0.00066461094,0.73,0.0031037091
0.14,0.00065433328,0.74,0.002743808
0.15,0.00063379047,0.75,0.0022959832
0.16,0.00053420141,0.76,0.0017428239
0.17,0.00052076687,0.77,0.0010632266
0.18,0.00052155641,0.78,0.00023152095
0.19,0.00051285797,0.79,-0.00078354038
0.2,0.00049863531,-,-
0.21,0.00048678188,-,-
0.22,0.00085667516,-,-
0.23,0.00047887641,-,-
0.24,0.0004749225,-,-
0.25,0.00046228031,-,-
0.26,0.00046227672,-,-
0.27,0.00044251984,-,-
0.28,0.0004401475,-,-
0.29,0.00081794625,-,-
0.3,0.00042592172,-,-
0.31,0.00041880953,-,-
0.32,0.00074759953,-,-
0.33,0.00040063172,-,-
0.34,0.00039746734,-,-
0.35,0.00038482219,-,-
0.36,0.00038307125,-,-
0.37,0.00037454875,-,-
0.38,0.00070966609,-,-
0.39,0.00070887578,-,-
0.4,0.00035083672,-,-
0.41,0.000345305,-,-
0.42,0.00033173984,-,-
0.43,0.00031922156,-,-
0.44,0.00068199844,-,-
0.45,0.00030973719,-,-
0.46,0.00030420484,-,-
0.47,0.00030973547,-,-
0.48,0.00028602328,-,-
0.49,0.00027812266,-,-
0.5,0.00026942844,-,-
0.51,0.00027100703,-,-
0.52,0.00025836297,-,-
0.53,0.00024334625,-,-
0.54,0.00060058969,-,-
0.55,0.00023070063,-,-
0.56,0.00062825297,-,-
0.57,0.00021568453,-,-
0.58,0.00020778,-,-
0.59,0.00018802063,-,-
0.6,0.00019592375,-,-
0.61,0.00018248766,-,-
0.62,0.00017695531,-,-
0.63,0.00016905312,-,-
0.64,0.00016905297,-,-
0.65,0.00015245398,-,-
0.66,0.00015719578,-,-
0.67,0.00015087323,-,-
0.68,0.00012795253,-,-
0.69,0.00012795322,-,-
0.7,0.00011609723,-,-
0.71,0.00048915219,-,-
0.72,0.00010028961,-,-
0.73,9.3175969e-05,-,-
0.74,7.4997984e-05,-,-
0.75,0.0004425175,-,-
0.76,7.1836219e-05,-,-
0.77,7.2626141e-05,-,-
0.78,5.7609266e-05,-,-
0.79,4.8125031e-05,-,-
0.8,4.2592656e-05,-,-
0.81,3.3107922e-05,-,-
0.82,2.0462266e-05,-,-
0.83,0.00041169516,-,-
0.84,1.7301016e-05,-,-
0.85,0.00036110984,-,-
0.86,-4.8292422e-06,-,-
0.87,-9.5717922e-06,-,-
0.88,-2.7750203e-05,-,-
0.89,-3.3282813e-05,-,-
0.9,-4.3557266e-05,-,-
0.91,0.00028918734,-,-
0.92,0.00034530594,-,-
0.93,-6.4895109e-05,-,-
0.94,-7.5959e-05,-,-
0.95,-7.5168766e-05,-,-
0.96,-0.00012021508,-,-
0.97,0.00024097688,-,-
0.98,0.00023070016,-,-
0.99,-0.00047283828,-,-
1,-0.00014313406,-,-
1.01,-0.00013839127,-,-
1.02,-0.00021267891,-,-
1.03,-0.00015814937,-,-
1.04,-4.8295313e-06,-,-
1.05,-0.00017632594,-,-
1.06,-0.00075639766,-,-
1.07,-0.00010678014,-,-
1.08,-0.00018027719,-,-
1.09,-0.00034623641,-,-
1.1,7.2626687e-05,-,-
1.11,-0.00020872719,-,-
1.12,-0.00043316859,-,-
1.13,-0.00024429,-,-
1.14,-0.0014945306,-,-
1.15,-0.00026483813,-,-
1.16,0.0001113533,-,-
1.17,-0.00060960563,-,-
1.18,-0.00026957828,-,-
1.19,-0.00027274062,-,-
1.2,-7.9120266e-05,-,-
1.21,-3.6444266e-05,-,-
1.22,-0.00033517141,-,-
1.23,2.2833266e-05,-,-
1.24,-0.00032094719,-,-
1.25,-0.00031778781,-,-
1.26,-0.00033043109,-,-
1.27,3.7060187e-05,-,-
1.28,-0.00036520547,-,-
1.29,-8.7023141e-05,-,-

