Measured X,Measured Y,J  ARC1_t=0.14 InGaAs_tauSRH=3.0e-07 X,J  ARC1_t=0.14 InGaAs_tauSRH=3.0e-07 Y,J  ARC1_t=0.140001 InGaAs_tauSRH=3.0e-06 X,J  ARC1_t=0.140001 InGaAs_tauSRH=3.0e-06 Y
-19.5,2.8096891e-05,-1,5.3032492e-07,-0.7,3.2810412e-08
-19,2.8238547e-05,-0.96997001,5.1913139e-07,-0.67897,3.2292445e-08
-18.5,2.8373414e-05,-0.93994001,5.0814445e-07,-0.6737125,3.2257527e-08
-18,2.8625305e-05,-0.90991,4.9664103e-07,-0.6667025,3.1964504e-08
-17.5,2.8620969e-05,-0.87988,4.8546472e-07,-0.6582905,3.1688535e-08
-17,2.8578289e-05,-0.84985,4.7396129e-07,-0.6470745,3.1205941e-08
-16.5,2.8581727e-05,-0.81982,4.6164871e-07,-0.63511077,3.0740467e-08
-16,2.8258664e-05,-0.78979,4.4993869e-07,-0.62314703,3.0309383e-08
-15.5,2.7775516e-05,-0.75976,4.378327e-07,-0.60560022,2.9791764e-08
-15,2.7070141e-05,-0.72973,4.256062e-07,-0.60297147,2.9653937e-08
-14.5,2.6441805e-05,-0.6997,4.1298372e-07,-0.59946647,2.9498828e-08
-14,2.5525234e-05,-0.66967,4.0006857e-07,-0.59339114,2.9205897e-08
-13.5,2.4439609e-05,-0.63964,3.8703291e-07,-0.58367061,2.8929797e-08
-13,2.3274844e-05,-0.60961,3.73739e-07,-0.58010641,2.8826268e-08
-12.5,2.1978984e-05,-0.57958,3.599286e-07,-0.5763046,2.87743e-08
-12,2.0632828e-05,-0.54955,3.4625593e-07,-0.57174243,2.8653476e-08
-11.5,1.9236602e-05,-0.51952,3.3213564e-07,-0.56718026,2.763849e-08
-11,1.7765098e-05,-0.48949,3.1761938e-07,-0.56109737,2.8222524e-08
-10.5,1.6322636e-05,-0.45946,3.0260385e-07,-0.55460895,2.7981138e-08
-10,1.4896e-05,-0.42943,2.8720956e-07,-0.54682285,2.7533278e-08
-9.5,1.3499973e-05,-0.3994,2.7150537e-07,-0.53644137,2.722272e-08
-9,1.2140767e-05,-0.36937,2.5514697e-07,-0.52259941,2.6774253e-08
-8.5,1.0883878e-05,-0.33934,2.3844425e-07,-0.50598906,2.6084772e-08
-8,9.6569836e-06,-0.30931,2.2124225e-07,-0.48605663,2.5326176e-08
-7.5,8.5470469e-06,-0.27928,2.0336881e-07,-0.46502663,2.4550274e-08
-7,7.4615484e-06,-0.24925,1.8489281e-07,-0.44399663,2.3602418e-08
-6.5,6.48165e-06,-0.21922,1.6569372e-07,-0.42296663,2.2740539e-08
-6,5.5225648e-06,-0.18919,1.4587485e-07,-0.40193663,2.1844268e-08
-5.5,4.6711008e-06,-0.15916,1.2516073e-07,-0.38090663,2.0844825e-08
-5,3.8683617e-06,-0.12913,1.0365466e-07,-0.35987663,2.003453e-08
-4.5,3.1586461e-06,-0.099100001,8.1356635e-08,-0.33884663,1.9000694e-08
-4,2.5099133e-06,-0.069070001,5.787069e-08,-0.31781663,1.8327961e-08
-3.5,1.930775e-06,-0.03904,3.3231251e-08,-0.29678663,1.712217e-08
-3,1.4182973e-06,-0.0090100001,7.9203731e-09,-0.27575663,1.6157114e-08
-2.5,1.0149215e-06,0.001,-9.6425593e-10,-0.25472663,1.5071689e-08
-2,7.1965641e-07,0.001,-9.1260735e-10,-0.23369663,1.3883091e-08
-1.5,5.034957e-07,0.18847,-1.9486865e-07,-0.21266663,1.2866446e-08
-1,3.3466273e-07,0.37594,-4.6436861e-07,-0.19163663,1.1815409e-08
-0.98,2.6115687e-07,0.56341001,-8.4845933e-07,-0.17060663,1.0712784e-08
-0.96,2.4635609e-07,0.75088001,-1.4081737e-06,-0.14957663,9.7133307e-09
-0.94,2.5466672e-07,0.93835002,-2.2295617e-06,-0.12854663,8.1292327e-09
-0.92,2.39655e-07,1.12582,-3.4456069e-06,-0.10751663,7.0266042e-09
-0.9,2.4857234e-07,1.3132901,-5.2570904e-06,-0.086486629,5.9583648e-09
-0.88,2.3432547e-07,1.5007601,-7.9722429e-06,-0.065456629,4.3398712e-09
-0.86,2.3155531e-07,1.6882301,-1.2063283e-05,-0.044426629,2.8933296e-09
-0.84,2.3007781e-07,1.8757002,-1.8270198e-05,-0.023396629,1.4811768e-09
-0.82,2.2714938e-07,2.0631703,-2.7759798e-05,-0.0023666292,2.0658487e-10
-0.8,2.2495953e-07,2.2506404,-4.2407528e-05,0.001,-1.8928654e-10
-0.78,2.2131875e-07,2.4381107,-6.5247945e-05,0.001,-1.5489576e-10
-0.76,2.1902344e-07,2.625581,-0.00010133436,0.18847,-1.5779898e-08
-0.74,2.1532984e-07,2.8130516,-0.00015919621,0.37594,-3.7966263e-08
-0.72,2.1258594e-07,3.0005225,-0.00025356116,0.56341,-6.9904903e-08
-0.7,2.1042266e-07,3.1879941,-0.00041043771,0.75088,-1.1706554e-07
-0.68,2.0620141e-07,3.3754668,-0.00067674588,0.93835,-1.8737642e-07
-0.66,2.0857578e-07,3.5629414,-0.0011389913,1.12582,-2.9514168e-07
-0.64,2.0031797e-07,3.7504196,-0.0019596901,1.31329,-4.6192662e-07
-0.62,1.9704656e-07,3.9379045,-0.0034493551,1.50076,-7.2276041e-07
-0.6,1.9340562e-07,4.1254021,-0.0062090607,1.68823,-1.1371429e-06
-0.58,1.8984406e-07,4.3129241,-0.011413206,1.8757,-1.8153153e-06
-0.56,1.8636141e-07,4.5004937,-0.021366646,2.06317,-2.9505389e-06
-0.54,1.8599203e-07,4.6881559,-0.04058738,2.25064,-4.894379e-06
-0.52,1.7915891e-07,4.8759986,-0.07786279,2.4381101,-8.3154511e-06
-0.5,1.7813e-07,5.0641906,-0.15006082,2.6255801,-1.4503113e-05
-0.48,1.7111219e-07,5.2530515,-0.28915235,2.8130503,-2.5974802e-05
-0.46,1.6718109e-07,5.4431848,-0.55548455,3.0005205,-4.7735612e-05
-0.44,1.6303891e-07,5.6357315,-1.0631467,3.1879909,-8.9818958e-05
-0.42,1.5871219e-07,5.8328207,-2.0250692,3.3754617,-0.00017251709
-0.4,1.5301348e-07,6.0382324,-3.8192423,3.5629334,-0.00033713619
-0.38,1.5066533e-07,6.0915412,-4.4633689,3.7504067,-0.00066812489
