Measured X,Measured Y,J  X,J  Y
0,0.77500516,-0.0065997134,0.65997134
0.05,0.77431078,0.010669677,0.65997111
0.1,0.77355078,0.027939065,0.6599711
0.15,0.77273969,0.062477842,0.65997106
0.2,0.77187234,0.13155539,0.65997099
0.25,0.77091297,0.2697105,0.65997085
0.3,0.77000547,0.54602071,0.65997056
0.35,0.76897063,1.0986411,0.65996999
0.4,0.76791578,2.203882,0.65996883
0.45,0.76680328,2.9934003,0.65996792
0.5,0.76571187,3.0059003,0.6599677
0.55,0.76463344,3.0184003,0.65996768
0.6,0.76357609,3.0434003,0.65996765
0.65,0.76272531,3.0934003,0.65996759
0.7,0.76214187,3.1434003,0.65996753
0.75,0.76191625,3.1934003,0.65996746
0.8,0.76167562,3.2434003,0.6599674
0.85,0.76087891,3.2934003,0.65996734
0.9,0.75982078,3.3434003,0.65996727
0.95,0.75845906,3.3934003,0.6599672
1,0.75697437,3.4434003,0.65996714
1.05,0.75543312,3.4934003,0.65996707
1.1,0.75386859,3.5434003,0.659967
1.15,0.75237516,3.5934003,0.65996694
1.2,0.75088328,3.6434003,0.65996686
1.25,0.74967562,3.6934003,0.65996679
1.3,0.74870094,3.7434003,0.65996671
1.35,0.74808156,3.7934003,0.65996664
1.4,0.74778641,3.8434003,0.65996656
1.45,0.74760859,3.8934003,0.65996648
1.5,0.74720156,3.9434003,0.6599664
1.55,0.74590359,3.9934003,0.65996631
1.6,0.74353203,4.0434003,0.65996622
1.65,0.74003625,4.0934003,0.65996612
1.7,0.73562281,4.1434003,0.65996603
1.75,0.73058359,4.1934003,0.65996593
1.8,0.72511141,4.2434003,0.65996582
1.85,0.71966641,4.2934003,0.6599657
1.9,0.71442438,4.3434003,0.65996558
1.95,0.70960953,4.3934003,0.65996544
2,0.70541688,4.4434003,0.65996529
2.05,0.70191953,4.4934003,0.65996513
2.1,0.69931969,4.5434003,0.65996494
2.15,0.69744781,4.5934003,0.65996471
2.2,0.69632187,4.6434003,0.65996442
2.25,0.69588484,4.6934003,0.65996397
2.3,0.69602328,4.7434003,0.65996307
2.35,0.69664344,4.7934003,0.65996069
2.4,0.69771531,4.8434004,0.65995221
2.45,0.69900187,4.8934008,0.65991333
2.5,0.70064172,4.9434029,0.65970044
2.55,0.70247656,4.9934148,0.65851019
2.6,0.70445891,5.0434642,0.65357226
2.65,0.70655344,5.0935811,0.64188349
2.7,0.70872891,5.1437674,0.62325895
2.75,0.71106734,5.1940206,0.59793805
2.8,0.7133475,5.2443452,0.56547098
2.85,0.71564422,5.294751,0.52489681
2.9,0.71796937,5.3452511,0.47487994
2.95,0.72023703,5.3958625,0.41374545
3,0.72251422,5.4466053,0.33946842
3.05,0.72461203,5.4975035,0.24964327
3.1,0.72677078,5.5485855,0.14144437
3.15,0.72876219,5.5998841,0.011584503
3.2,0.73068719,5.6514372,-0.14372597
3.25,0.73232562,-,-
3.3,0.73375969,-,-
3.35,0.73496172,-,-
3.4,0.73574984,-,-
3.45,0.73619687,-,-
3.5,0.73630625,-,-
3.55,0.73613781,-,-
3.6,0.73571953,-,-
3.65,0.73506688,-,-
3.7,0.73407234,-,-
3.75,0.73296828,-,-
3.8,0.73160922,-,-
3.85,0.73006609,-,-
3.9,0.72827453,-,-
3.95,0.72628344,-,-
4,0.72418469,-,-
4.05,0.72171547,-,-
4.1,0.71906922,-,-
4.15,0.71625703,-,-
4.2,0.7132775,-,-
4.25,0.71017578,-,-
4.3,0.70690297,-,-
4.35,0.70377359,-,-
4.4,0.70077469,-,-
4.45,0.69800984,-,-
4.5,0.69568422,-,-
4.55,0.69394609,-,-
4.6,0.69310703,-,-
4.65,0.69287391,-,-
4.7,0.69282797,-,-
4.75,0.69177187,-,-
4.8,0.68828937,-,-
4.85,0.68102062,-,-
4.9,0.66929547,-,-
4.95,0.65315062,-,-
5,0.63253328,-,-
5.05,0.60680312,-,-
5.1,0.57511391,-,-
5.15,0.53680547,-,-
5.2,0.49027547,-,-
5.25,0.43427359,-,-
5.3,0.36653,-,-
5.35,0.28531203,-,-
5.4,0.18724234,-,-
5.45,0.06974725,-,-

