Measured X,Measured Y,J  X,J  Y
0,10.048538,-0.09036978,9.0369781
0.05,10.039084,-0.080994777,9.0369778
0.1,10.026284,-0.071619777,9.0369778
0.15,10.018158,-0.052869776,9.0369777
0.2,9.9966297,-0.015369774,9.0369775
0.25,9.9830844,0.059630229,9.036977
0.3,9.9696109,0.20963024,9.0369762
0.35,9.9640391,0.50963025,9.0369744
0.4,9.9459234,1.1096303,9.0369699
0.45,9.9397828,2.3096304,9.0369557
0.5,9.9252563,2.9096305,9.0369424
0.55,9.9208156,2.9221306,9.0369419
0.6,9.9118125,2.9346306,9.0369415
0.65,9.9200266,2.9596306,9.0369407
0.7,9.9123094,3.0096306,9.036939
0.75,9.9225375,3.0596306,9.0369372
0.8,9.9148078,3.1096306,9.0369354
0.85,9.9098812,3.1596306,9.0369333
0.9,9.9040969,3.2096307,9.0369312
0.95,9.8958719,3.2596307,9.0369288
1,9.8868984,3.3096307,9.0369262
1.05,9.8818703,3.3596307,9.0369235
1.1,9.8572828,3.4096308,9.0369205
1.15,9.8372484,3.4596308,9.0369173
1.2,9.8156031,3.5096308,9.0369137
1.25,9.7955453,3.5596309,9.0369098
1.3,9.9759219,3.6096309,9.0369055
1.35,9.9934375,3.659631,9.0369007
1.4,10.00178,3.709631,9.0368953
1.45,10.006294,3.7596311,9.0368892
1.5,10.014623,3.8096311,9.0368823
1.55,10.010683,3.8596312,9.0368746
1.6,10.000986,3.9096313,9.0368662
1.65,9.9951875,3.9596314,9.0368572
1.7,9.9973219,4.0096315,9.0368469
1.75,9.9835562,4.0596316,9.0368346
1.8,9.9762578,4.1096318,9.0368198
1.85,9.9658891,4.1596319,9.0368029
1.9,9.9582109,4.2096321,9.0367834
1.95,9.9570031,4.2596324,9.0367591
2,9.9414828,4.3096327,9.0367276
2.05,9.9324766,4.3596331,9.0366832
2.1,9.9218906,4.4096339,9.0366074
2.15,9.9094156,4.4596355,9.0364454
2.2,9.8989391,4.5096396,9.0360386
2.25,9.8967562,4.5596508,9.0349196
2.3,9.8770484,4.609683,9.0316943
2.35,9.8672922,4.6597769,9.022307
2.4,9.8533219,4.7100337,8.9966205
2.45,9.8516375,4.7606182,8.9381728
2.5,9.83185,4.8116449,8.8355077
2.55,9.8202984,4.8631141,8.688586
2.6,9.8076406,4.9149903,8.5009695
2.65,9.7986359,4.9672521,8.2747862
2.7,9.7885469,5.0198955,8.0104415
2.75,9.7865625,5.0729269,7.7073058
2.8,9.7697719,5.1263585,7.3641492
2.85,9.7722453,5.180206,6.9793979
2.9,9.7569078,5.2344874,6.5512547
2.95,9.7527953,5.2892223,6.0777606
3,9.7522203,5.3444318,5.5568132
3.05,9.7589391,5.4001382,4.9861736
3.1,9.7573109,5.456367,4.3632918
3.15,9.7448734,5.5131401,3.6859882
3.2,9.7373,5.5704861,2.9513846
3.25,9.7291406,5.6284339,2.1566057
3.3,9.724825,5.6870141,1.2985855
3.35,9.7129094,5.7462594,0.37405251
3.4,9.6898656,5.8062048,-0.62048469
3.45,9.6799953,-,-
3.5,9.6604703,-,-
3.55,9.6406719,-,-
3.6,9.6099562,-,-
3.65,9.5859781,-,-
3.7,9.5578,-,-
3.75,9.5300187,-,-
3.8,9.4998906,-,-
3.85,9.4779734,-,-
3.9,9.4382203,-,-
3.95,9.4047047,-,-
4,9.3710062,-,-
4.05,9.3371047,-,-
4.1,9.3044297,-,-
4.15,9.2707609,-,-
4.2,9.2449875,-,-
4.25,9.2088125,-,-
4.3,9.1851016,-,-
4.35,9.1657937,-,-
4.4,9.1558391,-,-
4.45,9.1550922,-,-
4.5,9.1483969,-,-
4.55,9.1455469,-,-
4.6,9.1464219,-,-
4.65,9.1263797,-,-
4.7,9.1006469,-,-
4.75,9.0605594,-,-
4.8,9.0081406,-,-
4.85,8.940725,-,-
4.9,8.8342547,-,-
4.95,8.7110016,-,-
5,8.5447828,-,-
5.05,8.3536375,-,-
5.1,8.1117719,-,-
5.15,7.8315406,-,-
5.2,7.5233297,-,-
5.25,7.1673344,-,-
5.3,6.7467203,-,-
5.35,6.2675641,-,-
5.4,5.7250906,-,-
5.45,5.1313641,-,-
5.5,4.4996187,-,-
5.55,3.8520953,-,-
5.6,2.9301234,-,-
5.65,2.0465969,-,-
5.7,1.0981541,-,-
5.75,0.08861325,-,-
5.8,-1.1413523,-,-
5.85,-2.4810313,-,-
5.9,-3.4999328,-,-
5.95,-5.5997187,-,-

