Measured X,Measured Y,J  X,J  Y,Jph1 X,Jph1 Y,Jph2 X,Jph2 Y,Jph3 X,Jph3 Y,Jph4 X,Jph4 Y,Jph5 X,Jph5 Y,Jph6 X,Jph6 Y,Jph7 X,Jph7 Y,Jph8 X,Jph8 Y,Jph9 X,Jph9 Y,Jph10 X,Jph10 Y
0.1,0.073742172,-0.00072978907,0.072978908,0.1,0.073004677,0.1,0.10002653,0.1,0.11608278,0.1,0.13086936,0.1,0.14862199,0.1,0.15570238,0.1,0.16489191,0.1,0.17594768,0.1,0.19620109,0.1,0.23678769
0.2,0.073355375,0.29927023,0.072976623,0.2,0.073004677,0.2,0.10002653,0.2,0.11608278,0.2,0.13086936,0.2,0.14862199,0.2,0.15570238,0.2,0.16489191,0.2,0.17594768,0.2,0.19620109,0.2,0.23678769
0.3,0.073057125,0.89927026,0.072973095,0.3,0.073004677,0.3,0.10002653,0.3,0.11608278,0.3,0.13086936,0.3,0.14862199,0.3,0.15570238,0.3,0.16489191,0.3,0.17594768,0.3,0.19620109,0.3,0.23678769
0.4,0.072817969,2.0992703,0.072963499,0.4,0.073004677,0.4,0.10002653,0.4,0.11608278,0.4,0.13086936,0.4,0.14862199,0.4,0.15570238,0.4,0.16489191,0.4,0.17594768,0.4,0.19620109,0.4,0.23678769
0.5,0.072669734,2.9992704,0.072954411,0.5,0.073004677,0.5,0.10002653,0.5,0.11608278,0.5,0.13086936,0.5,0.14862199,0.5,0.15570238,0.5,0.16489191,0.5,0.17594768,0.5,0.19620109,0.5,0.23678769
0.6,0.072787781,3.0492704,0.072953745,0.6,0.073004677,0.6,0.10002653,0.6,0.11608278,0.6,0.13086936,0.6,0.14862199,0.6,0.15570238,0.6,0.16489191,0.6,0.17594768,0.6,0.19620109,0.6,0.23678769
0.7,0.072595203,3.0992704,0.072953219,0.7,0.073004677,0.7,0.10002653,0.7,0.11608278,0.7,0.13086936,0.7,0.14862199,0.7,0.15570238,0.7,0.16489191,0.7,0.17594768,0.7,0.19620109,0.7,0.23678769
0.8,0.072698703,3.1492704,0.072952675,0.8,0.073004677,0.8,0.10002653,0.8,0.11608278,0.8,0.13086936,0.8,0.14862199,0.8,0.15570238,0.8,0.16489191,0.8,0.17594768,0.8,0.19620109,0.8,0.23678769
0.9,0.072207969,3.1992704,0.072952071,0.9,0.073004677,0.9,0.10002653,0.9,0.11608278,0.9,0.13086936,0.9,0.14862199,0.9,0.15570238,0.9,0.16489191,0.9,0.17594768,0.9,0.19620109,0.9,0.23678769
1,0.072330031,3.2492705,0.072951412,1,0.073004677,1,0.10002653,1,0.11608278,1,0.13086936,1,0.14862199,1,0.15570238,1,0.16489191,1,0.17594768,1,0.19620109,1,0.23678769
1.1,0.072347703,3.2992705,0.072950759,1.1,0.073004677,1.1,0.10002653,1.1,0.11608278,1.1,0.13086936,1.1,0.14862199,1.1,0.15570238,1.1,0.16489191,1.1,0.17594768,1.1,0.19620109,1.1,0.23678769
1.2,0.072446969,3.3492705,0.072950153,1.2,0.073004677,1.2,0.10002653,1.2,0.11608278,1.2,0.13086936,1.2,0.14862199,1.2,0.15570238,1.2,0.16489191,1.2,0.17594768,1.2,0.19620109,1.2,0.23678769
1.3,0.072481688,3.3992705,0.072949588,1.3,0.073004677,1.3,0.10002653,1.3,0.11608278,1.3,0.13086936,1.3,0.14862199,1.3,0.15570238,1.3,0.16489191,1.3,0.17594768,1.3,0.19620109,1.3,0.23678769
1.4,0.072372937,3.4492705,0.07294901,1.4,0.073004677,1.4,0.10002653,1.4,0.11608278,1.4,0.13086936,1.4,0.14862199,1.4,0.15570238,1.4,0.16489191,1.4,0.17594768,1.4,0.19620109,1.4,0.23678769
1.5,0.071853406,3.4992705,0.072948369,1.5,0.073004677,1.5,0.10002653,1.5,0.11608278,1.5,0.13086936,1.5,0.14862199,1.5,0.15570238,1.5,0.16489191,1.5,0.17594768,1.5,0.19620109,1.5,0.23678769
