Measured X,Measured Y,J  PR=off LC=on Rseries=0.0207 X,J  PR=off LC=on Rseries=0.0207 Y,J  PR=on LC=off Rseries=0.0214 X,J  PR=on LC=off Rseries=0.0214 Y
0,10.542755,0,10.542979,0,10.543458
0.05,10.542816,0.06,10.542953,0.06,10.543436
0.1,10.541903,0.1704,10.542902,0.148,10.543402
0.15,10.527289,0.372064,10.542795,0.26533333,10.543353
0.2,10.541467,0.6,10.542406,0.42177778,10.543279
0.25,10.54388,0.61,10.54229,0.6,10.542982
0.3,10.534945,0.62,10.542123,0.61,10.542886
0.35,10.542906,0.63,10.541882,0.62,10.54275
0.4,10.541766,0.64,10.541532,0.63,10.542552
0.45,10.555309,0.65,10.541021,0.64,10.542265
0.5,10.550006,0.66,10.540274,0.65,10.541847
0.55,10.546989,0.67,10.539182,0.66,10.541235
0.6,10.520633,0.68,10.537583,0.67,10.54034
0.65,10.4714,0.69,10.535245,0.68,10.539029
0.7,10.41412,0.7,10.531833,0.69,10.537109
0.75,10.287605,0.71,10.526871,0.7,10.534303
0.8,9.9881844,0.72,10.519693,0.71,10.530211
0.85,9.3412391,0.73,10.509388,0.72,10.524266
0.9,8.3456484,0.74,10.494752,0.73,10.515682
0.95,7.2562078,0.75,10.474261,0.74,10.50339
1,5.7711594,0.76,10.446094,0.75,10.485996
1.05,4.0972828,0.77,10.408241,0.76,10.461759
1.1,2.0745453,0.78,10.358676,0.77,10.428652
1.15,-0.21343469,0.79,10.295579,0.78,10.384496
1.2,-2.6702641,0.8,10.217539,0.79,10.327184
1.25,-5.3291359,0.81,10.123652,0.8,10.254938
-,-,0.82,10.013533,0.81,10.166499
-,-,0.83,9.8872313,0.82,10.061216
-,-,0.84,9.7451164,0.83,9.9390058
-,-,0.85,9.5877712,0.84,9.8002307
-,-,0.86,9.4159011,0.85,9.6455594
-,-,0.87,9.2302715,0.86,9.4758362
-,-,0.88,9.0316661,0.87,9.2919847
-,-,0.89,8.8208605,0.88,9.0949433
-,-,0.9,8.5986061,0.89,8.8856268
-,-,0.91,8.365622,0.9,8.6649039
-,-,0.92,8.1225884,0.91,8.4335878
-,-,0.93,7.8701456,0.92,8.1924326
-,-,0.94,7.6088929,0.93,7.9421332
-,-,0.95,7.3393891,0.94,7.6833279
-,-,0.96,7.062154,0.95,7.416602
-,-,0.97,6.7776702,0.96,7.1424914
-,-,0.98,6.4863839,0.97,6.8614868
-,-,0.99,6.1887103,0.98,6.5740374
-,-,1,5.8850307,0.99,6.2805545
-,-,1.01,5.5756993,1,5.9814152
-,-,1.02,5.2610443,1.01,5.6769653
-,-,1.03,4.9413673,1.02,5.3675223
-,-,1.04,4.616949,1.03,5.053378
-,-,1.05,4.2880488,1.04,4.734801
-,-,1.06,3.9549061,1.05,4.4120386
-,-,1.07,3.6177446,1.06,4.0853192
-,-,1.08,3.2767698,1.07,3.7548536
-,-,1.09,2.932175,1.08,3.4208369
-,-,1.1,2.5841373,1.09,3.0834497
-,-,1.11,2.232824,1.1,2.7428597
-,-,1.12,1.8783895,1.11,2.3992226
-,-,1.13,1.5209788,1.12,2.052683
-,-,1.14,1.160726,1.13,1.703376
-,-,1.15,0.7977571,1.14,1.3514275
-,-,1.16,0.43219079,1.15,0.99695494
-,-,1.17,0.06413729,1.16,0.64006824
-,-,1.18,-0.30629944,1.17,0.28086961
-,-,-,-,1.18,-0.080544006

