Measured X,Measured Y,R_2808 X,R_2808 Y
1.005,0.2196493,1,0.23069792
1.01,0.22124478,1.004,0.23021977
1.015,0.22377322,1.008,0.23000338
1.02,0.22605958,1.012,0.22996292
1.025,0.23031341,1.016,0.23018415
1.03,0.23507384,1.02,0.23080891
1.035,0.24015608,1.024,0.23170036
1.04,0.24468677,1.028,0.23291643
1.045,0.25026107,1.032,0.23439792
1.05,0.25652732,1.036,0.23608967
1.055,0.26206042,1.04,0.23795455
1.06,0.26681599,1.044,0.23998144
1.065,0.27283499,1.048,0.24221844
1.07,0.27877934,1.052,0.24458308
1.075,0.28473901,1.056,0.24699156
1.08,0.29088509,1.06,0.24950921
1.085,0.29698975,1.064,0.25218307
1.09,0.30078272,1.068,0.25492213
1.095,0.30574307,1.072,0.25770956
1.1,0.31067525,1.076,0.26051918
1.105,0.3156116,1.08,0.2633353
1.11,0.32074977,1.084,0.26614293
1.115,0.32313304,1.088,0.26892856
1.12,0.32695145,1.092,0.27168597
1.125,0.33047802,1.096,0.27446773
1.13,0.33345209,1.1,0.277201
1.135,0.33647784,1.104,0.2799157
1.14,0.3392515,1.108,0.28259169
1.145,0.34164165,1.112,0.28519231
1.15,0.34312753,1.116,0.28766793
1.155,0.34662351,1.12,0.29002977
1.16,0.34758727,1.124,0.29229922
1.165,0.34851641,1.128,0.29446529
1.17,0.34958364,1.132,0.2965344
1.175,0.35089145,1.136,0.29853063
1.18,0.35059071,1.14,0.30045194
1.185,0.35097854,1.144,0.3022594
1.19,0.35158984,1.148,0.3039178
1.195,0.35128277,1.152,0.30542923
1.2,0.35049463,1.156,0.30681724
1.205,0.35020737,1.16,0.30812932
1.21,0.34900466,1.164,0.30940001
1.215,0.34790587,1.168,0.31061562
1.22,0.34653336,1.172,0.31172593
1.225,0.3457586,1.176,0.31266896
1.23,0.34441388,1.18,0.31342119
1.235,0.3415451,1.184,0.31401643
1.24,0.34031832,1.188,0.31454379
1.245,0.33701519,1.192,0.31506593
1.25,0.33367294,1.196,0.31557692
1.255,0.33178221,1.2,0.31603746
1.26,0.32837307,1.204,0.31635705
1.265,0.32627702,1.208,0.31646594
1.27,0.32318097,1.212,0.3163749
1.275,0.32059722,1.216,0.31616023
1.28,0.31706703,1.22,0.31593494
1.285,0.31300197,1.224,0.31571799
1.29,0.30881313,1.228,0.3155366
1.295,0.30586509,1.232,0.31533741
1.3,0.30148983,1.236,0.3149971
1.305,0.29782954,1.24,0.31443074
1.31,0.29341779,1.244,0.31362914
1.315,0.28975005,1.248,0.31267838
1.32,0.28594694,1.252,0.3117115
1.325,0.2820622,1.256,0.31085511
1.33,0.2780846,1.26,0.31010077
1.335,0.27347194,1.264,0.30937762
1.34,0.26954803,1.268,0.30859101
1.345,0.26479895,1.272,0.30758225
1.35,0.26041381,1.276,0.30631093
1.355,0.25644934,1.28,0.3048127
