Measured X,Measured Y,Reflectivity  X,Reflectivity  Y
1.005,0.10725083,1,0.10962292
1.01,0.10431703,1.004,0.10594177
1.015,0.10047522,1.008,0.10044078
1.02,0.095970539,1.012,0.093479757
1.025,0.088677504,1.016,0.085472341
1.03,0.080199417,1.02,0.07683159
1.035,0.07207804,1.024,0.068373163
1.04,0.064929152,1.028,0.060590439
1.045,0.058252619,1.032,0.054026272
1.05,0.052968082,1.036,0.048971108
1.055,0.049936392,1.04,0.045410986
1.06,0.048574264,1.044,0.043112508
1.065,0.048254476,1.048,0.041802249
1.07,0.0490874,1.052,0.041152543
1.075,0.051026901,1.056,0.040843163
1.08,0.053522906,1.06,0.040792405
1.085,0.056807082,1.064,0.041030004
1.09,0.059170917,1.068,0.041597298
1.095,0.063099971,1.072,0.042686332
1.1,0.067353653,1.076,0.044522525
1.105,0.072589196,1.08,0.047317108
1.11,0.07782107,1.084,0.051189697
1.115,0.081154443,1.088,0.056109302
1.12,0.083977713,1.092,0.061875844
1.125,0.086215519,1.096,0.068156091
1.13,0.086987096,1.1,0.074540672
1.135,0.085935539,1.104,0.080574824
1.14,0.083266766,1.108,0.085764748
1.145,0.07894695,1.112,0.089613123
1.15,0.073580124,1.116,0.091719345
1.155,0.067354392,1.12,0.091941798
1.16,0.06083267,1.124,0.090316644
1.165,0.054624428,1.128,0.086935448
1.17,0.048969963,1.132,0.0820125
1.175,0.043982642,1.136,0.075897477
1.18,0.041106111,1.14,0.068961246
1.185,0.038919558,1.144,0.061666169
1.19,0.036834104,1.148,0.054487141
1.195,0.035114459,1.152,0.047800926
1.2,0.033456723,1.156,0.041901534
1.205,0.031768588,1.16,0.037007011
1.21,0.029990767,1.164,0.033190695
1.215,0.02823327,1.168,0.030396666
1.22,0.026373424,1.172,0.028500881
1.225,0.024522767,1.176,0.027284275
1.23,0.023188816,1.18,0.026458527
1.235,0.022532047,1.184,0.025753851
1.24,0.022746862,1.188,0.024944855
1.245,0.024046126,1.192,0.023895149
1.25,0.026153725,1.196,0.022569386
1.255,0.029220196,1.2,0.020966347
1.26,0.033149523,1.204,0.019177974
1.265,0.037745736,1.208,0.017356186
1.27,0.04040591,1.212,0.015679794
1.275,0.04405354,1.216,0.014345661
1.28,0.047656061,1.22,0.01354699
1.285,0.050816136,1.224,0.013432413
1.29,0.052597608,1.228,0.01410552
1.295,0.053665949,1.232,0.015623714
1.3,0.053638484,1.236,0.017948264
1.305,0.053241795,1.24,0.020963289
1.31,0.051776173,1.244,0.024506765
1.315,0.05015274,1.248,0.02839604
1.32,0.047994523,1.252,0.032422534
1.325,0.045607862,1.256,0.036374956
1.33,0.043029267,1.26,0.040087623
1.335,0.04030246,1.264,0.043407755
1.34,0.037762023,1.268,0.046147091
1.345,0.035403183,1.272,0.048205252
1.35,0.033309627,1.276,0.049496185
1.355,0.031534988,1.28,0.05006018
1.36,0.029890328,1.284,0.049918112
1.365,0.028021978,1.288,0.049136846
1.37,0.026665827,1.292,0.047779357
1.375,0.02513985,1.296,0.04594472
1.38,0.023742765,1.3,0.043739799
1.385,0.02306948,1.304,0.041258391
1.39,0.021817118,1.308,0.038600706
1.395,0.020666047,1.312,0.035852644
1.4,0.019227818,1.316,0.033091315
1.405,0.01790918,1.32,0.030384403
1.41,0.016955699,1.324,0.027785187
1.415,0.016069561,1.328,0.025319106
1.42,0.015221323,1.332,0.023008357
1.425,0.014876494,1.336,0.020883258
1.43,0.014589867,1.34,0.018895985
1.435,0.014674891,1.344,0.017016555
1.44,0.014994035,1.348,0.014332633
1.445,0.015225958,1.352,0.012468976
1.45,0.015765631,1.356,0.010647615
1.455,0.01651036,1.36,0.0088865515
1.46,0.01685498,1.364,0.0072136327
1.465,0.017141575,1.368,0.0056577441
1.47,0.017416571,1.372,0.0042463176
1.475,0.017670189,1.376,0.0030089174
1.48,0.016505942,1.38,0.0019822589
1.485,0.016093132,1.384,0.0012006716
1.49,0.016031015,1.388,0.00070064163
1.495,0.015798895,1.392,0.00051502389
1.5,0.015843181,1.396,0.00066904899
1.505,0.015725308,1.4,0.0011665904
1.51,0.016027802,1.404,0.0019945431
1.515,0.016128398,1.408,0.0031177109
1.52,0.016297423,1.412,0.0044795063
1.525,0.016273647,1.416,0.0060117727
1.53,0.016366756,1.42,0.0076446959
1.535,0.01676529,1.424,0.0093119505
1.54,0.017572117,1.428,0.010954596
1.545,0.0178292,1.432,0.012525516
1.55,0.017294164,1.436,0.013985369
1.555,0.017718464,1.44,0.015288659
1.56,0.018514027,1.444,0.016393153
1.565,0.018895772,1.448,0.017252058
1.57,0.019435337,1.452,0.017820738
1.575,0.019343518,1.456,0.018075301
1.58,0.019382037,1.46,0.018022806
1.585,0.019660047,1.464,0.01769516
1.59,0.019550494,1.468,0.017138848
1.595,0.01826613,1.472,0.016426974
1.6,0.018222453,1.476,0.015670194
1.605,0.019708115,1.48,0.014992373
1.61,0.021372246,1.484,0.014443089
1.615,0.021926467,1.488,0.014055027
1.62,0.021945941,1.492,0.013873491
1.625,0.023768415,1.496,0.013900205
1.63,0.026254584,1.5,0.014124156
1.635,0.02842061,1.504,0.014532478
1.64,0.031165834,1.508,0.015111399
1.645,0.034350133,1.512,0.015851333
1.65,0.038115876,1.516,0.0167516
1.655,0.041422669,1.52,0.017831954
1.66,0.043589297,1.524,0.019092224
1.665,0.046968428,1.528,0.020507531
1.67,0.048882797,1.532,0.022034045
1.675,0.049647567,1.536,0.023616479
1.68,0.048270407,1.54,0.025155857
1.685,0.046894227,1.544,0.026514948
1.69,0.047857317,1.548,0.027590601
1.695,0.05232127,1.552,0.02825499
1.7,0.061348901,1.556,0.028451249
1.705,0.068668884,1.56,0.028167533
1.71,0.073812815,1.564,0.02742645
1.715,0.07318923,1.568,0.026273964
1.72,0.066750921,1.572,0.024812094
1.725,0.056621295,1.576,0.023105907
1.73,0.042621365,1.58,0.021242215
1.735,0.03059247,1.584,0.01930544
1.74,0.02497805,1.588,0.017335266
1.745,0.023540996,1.592,0.015385478
1.75,0.024542396,1.596,0.013473365
1.755,0.027396982,1.6,0.011621096
1.76,0.030529963,1.604,0.0098687824
1.765,0.031469626,1.608,0.0082393427
1.77,0.027907997,1.612,0.0068114165
1.775,0.025970011,1.616,0.0056523396
1.78,0.021607149,1.62,0.0048345108
1.785,0.02116963,1.624,0.0045080635
1.79,0.024069753,1.628,0.0046922259
1.795,0.028037357,1.632,0.0054460382
1.8,0.034543671,1.636,0.0067883685
-,-,1.64,0.0087225287
-,-,1.644,0.011224679
-,-,1.648,0.014198273
-,-,1.652,0.017481534
-,-,1.656,0.020962001
-,-,1.66,0.02437292
-,-,1.664,0.02752411
-,-,1.668,0.030164155
-,-,1.672,0.032369835
-,-,1.676,0.034341464
-,-,1.68,0.036663903
-,-,1.684,0.040306265
-,-,1.688,0.046168108
-,-,1.692,0.054971302
-,-,1.696,0.066196746
-,-,1.7,0.078466228
-,-,1.704,0.089253544
-,-,1.708,0.096365124
-,-,1.712,0.097230342
-,-,1.716,0.091349853
-,-,1.72,0.079934086
-,-,1.724,0.064886014
-,-,1.728,0.04912496
-,-,1.732,0.035628792
-,-,1.736,0.02708861
-,-,1.74,0.024152058
-,-,1.744,0.025865993
-,-,1.748,0.030194113
-,-,1.752,0.034851391
-,-,1.756,0.037901045
-,-,1.76,0.037900451
-,-,1.764,0.034443315
-,-,1.768,0.027982705
-,-,1.772,0.019702957
-,-,1.776,0.011323351
-,-,1.78,0.0045190671
-,-,1.784,0.00085023548
-,-,1.788,0.0012189335
-,-,1.792,0.0057147181
-,-,1.796,0.013676603
-,-,1.8,0.023712374

