#Sentaurus Project Info File
Project Directory,sDir,/raidC/gforc034/STDB/AirPower/1550_PPC/MJ
Project Parent Opt Node,par_opt_node,-1
Hostname,hostname,dyson.rdc.uolocal
User,user,gforc034
Sentaurus Version,sVer,sentaurus_vS_2021.06
Simulation Start Time,time_sim,20230103_131137
File Creation Time,,20230103_131905

Tool Flow
epi,sde,MatPar,RCWA,tdx,LCMatrix,EQE,svisual_EQE,QE_Compare,optics,JV,svisual_1D,svisual_JV,python_JV,genopt,pyCollector

experiment-inputs,expt_num,sim_type,measQEData,measIVData,simMethod,BGN,3D,wtot,ARC2_t,ARC1_t,cap_t,cap_dop,seg10_fsf_t,seg10_fsf_dop,seg10_em_t,seg10_em_dop,seg10_ba_t,seg10_ba_dop,seg9_fsf_t,seg9_fsf_dop,seg9_em_t,seg9_em_dop,seg9_ba_t,seg9_ba_dop,seg8_fsf_t,seg8_fsf_dop,seg8_em_t,seg8_em_dop,seg8_ba_t,seg8_ba_dop,seg7_fsf_t,seg7_fsf_dop,seg7_em_t,seg7_em_dop,seg7_ba_t,seg7_ba_dop,seg6_fsf_t,seg6_fsf_dop,seg6_em_t,seg6_em_dop,seg6_ba_t,seg6_ba_dop,seg5_fsf_t,seg5_fsf_dop,seg5_em_t,seg5_em_dop,seg5_ba_t,seg5_ba_dop,seg4_fsf_t,seg4_fsf_dop,seg4_em_t,seg4_em_dop,seg4_ba_t,seg4_ba_dop,seg3_fsf_t,seg3_fsf_dop,seg3_em_t,seg3_em_dop,seg3_ba_t,seg3_ba_dop,seg2_fsf_t,seg2_fsf_dop,seg2_em_t,seg2_em_dop,seg2_ba_t,seg2_ba_dop,seg1_fsf_t,seg1_fsf_dop,seg1_em_t,seg1_em_dop,seg1_em2_t,seg1_em2_dop,seg1_ba_t,seg1_ba_dop,substrate_t,numSegments,EmBaGrad_t,eSim_type,wfrontc,InAlAs_SymPos,InAlAs_StdDev,InGaAs_nk,InGaAs_tauSRH,InGaAs_S,InGaAs_Bfactor,Rfactor,temp,PR,OptiToSentaurus,LC,spectrum,Pin,Rseries,optimizer,experiment-outputs,error_EQE,error_IQE,error_RS,Jsc,QE,Voc,FF,Eff,Pm,error_Jsc,error_Voc,error_FF,error_Pmax,error_IV
1,1.0,fitOptimize,QE/C5029-X1Y8.csv,IV/dark/C5029-X0Y4.csv,together,OFF,0.0,1.0,0.0,0.0,0.0,5e+18,0.2,5e+18,0.16461919343972337,5e+16,0.2,-8e+17,0.2,5e+18,0.18179087950742373,5e+16,0.2,-8e+17,0.2,5e+18,0.18456566649216782,5e+16,0.2,-8e+17,0.2,5e+18,0.17529879076006352,5e+16,0.2,-8e+17,0.2,5e+18,0.1801690648508269,5e+16,0.2,-8e+17,0.2,5e+18,0.34169883773824006,5e+16,0.2,-8e+17,0.2,5e+18,0.39756657989116767,5e+16,0.2,-8e+17,0.2,5e+18,0.4115655127031642,5e+16,0.2,-8e+17,0.2,5e+18,0.5006757386183861,5e+16,0.2,-8e+17,0.36,5e+18,0.066,5e+16,0.0,-8e+17,0.25,-8e+17,1.0,1.0,0.0,IV,0.0,0.047,0.02,NRC_MegC5034_3B,1.2141679376401e-06,3.0,1.0,-0.04,298.0,on,0.0,off,1.54,0.0,0.035,L-BFGS-B,1,0.0028411886192382966,0.0035340301362178908,0.043168545592388745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6259595346611951
2,2.0,fitOptimize,QE/C5034-X1Y8.csv,IV/dark/C5034-X2Y6.csv,together,OFF,0.0,1.0,0.0,0.0,0.0,5e+18,0.2,5e+18,0.16461919343972337,5e+16,0.2,-8e+17,0.2,5e+18,0.18179087950742373,5e+16,0.2,-8e+17,0.2,5e+18,0.18456566649216782,5e+16,0.2,-8e+17,0.2,5e+18,0.17529879076006352,5e+16,0.2,-8e+17,0.2,5e+18,0.1801690648508269,5e+16,0.2,-8e+17,0.2,5e+18,0.34169883773824006,5e+16,0.2,-8e+17,0.2,5e+18,0.39756657989116767,5e+16,0.2,-8e+17,0.2,5e+18,0.4115655127031642,5e+16,0.2,-8e+17,0.2,5e+18,0.5006757386183861,5e+16,0.2,-8e+17,0.3584,5e+18,0.56,5.7e+16,0.0,-8e+17,0.25,-8e+17,1.0,1.0,0.0,IV,0.0,0.0,0.03,NRC_MegC5034_3B,3.035604267975309e-06,3.968559562225037,1.0,-0.04,298.0,on,0.0,off,1.54,0.0,0.02337065582717658,L-BFGS-B,2,0.009595578711485678,0.01107958289790577,0.029700500234009587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27240421480029453
3,6.0,fitOptimize,QE/C5031-X1Y8.csv,IV/dark/C5031-X1Y9.csv,together,OFF,0.0,1.0,0.0,0.0,0.0,5e+18,0.2,5e+18,0.16461919343972337,5e+16,0.2,-8e+17,0.2,5e+18,0.18179087950742373,5e+16,0.2,-8e+17,0.2,5e+18,0.18456566649216782,5e+16,0.2,-8e+17,0.2,5e+18,0.17529879076006352,5e+16,0.2,-8e+17,0.2,5e+18,0.1801690648508269,5e+16,0.2,-8e+17,0.2,5e+18,0.34169883773824006,5e+16,0.2,-8e+17,0.2,5e+18,0.39756657989116767,5e+16,0.2,-8e+17,0.2,5e+18,0.4115655127031642,5e+16,0.2,-8e+17,0.2,5e+18,0.5006757386183861,5e+16,0.2,-8e+17,0.3542194761261105,5e+18,0.1876020281911444,5e+16,0.0,-8e+17,0.25,-8e+17,1.0,1.0,0.0,IV,0.0,0.04,0.02,NRC_MegC5034_3B,3.5e-07,2.5,1.0,-0.04,298.0,on,0.0,off,1.54,0.0,0.0393,L-BFGS-B,3,0.008353850848609814,0.010505960981896439,0.03566621975996578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4712295385668832
4,8.0,fitOptimize,QE/C5032-X1Y8.csv,IV/dark/C5032-X1Y4.csv,together,OFF,0.0,1.0,0.0,0.0,0.0,5e+18,0.2,5e+18,0.16461919343972337,5e+16,0.2,-8e+17,0.2,5e+18,0.18179087950742373,5e+16,0.2,-8e+17,0.2,5e+18,0.18456566649216782,5e+16,0.2,-8e+17,0.2,5e+18,0.17529879076006352,5e+16,0.2,-8e+17,0.2,5e+18,0.1801690648508269,5e+16,0.2,-8e+17,0.2,5e+18,0.34169883773824006,5e+16,0.2,-8e+17,0.2,5e+18,0.39756657989116767,5e+16,0.2,-8e+17,0.2,5e+18,0.4115655127031642,5e+16,0.2,-8e+17,0.2,5e+18,0.5006757386183861,5e+16,0.2,-8e+17,0.36,5e+18,0.56,5.5e+16,0.0,-8e+17,0.25,-8e+17,1.0,1.0,0.0,IV,0.0,0.0,0.01,NRC_MegC5034_3B,1.6078792943828809e-06,20.0,1.0,-0.04,298.0,on,0.0,off,1.54,0.0,0.07156846332573688,L-BFGS-B,4,0.010232771345638571,0.015254012983402022,0.03367458567621664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40472431842626627
5,9.0,fitOptimize,QE/C5033-X1Y6.csv,IV/dark/C5033-X2Y3.csv,together,OFF,0.0,1.0,0.0,0.0,0.0,5e+18,0.2,5e+18,0.16461919343972337,5e+16,0.2,-8e+17,0.2,5e+18,0.18179087950742373,5e+16,0.2,-8e+17,0.2,5e+18,0.18456566649216782,5e+16,0.2,-8e+17,0.2,5e+18,0.17529879076006352,5e+16,0.2,-8e+17,0.2,5e+18,0.1801690648508269,5e+16,0.2,-8e+17,0.2,5e+18,0.34169883773824006,5e+16,0.2,-8e+17,0.2,5e+18,0.39756657989116767,5e+16,0.2,-8e+17,0.2,5e+18,0.4115655127031642,5e+16,0.2,-8e+17,0.2,5e+18,0.5006757386183861,5e+16,0.2,-8e+17,0.36290428816776144,5e+18,0.06368366439600105,5e+16,0.0,-8e+17,0.25,-8e+17,1.0,1.0,0.0,IV,0.0,0.047,0.02,NRC_MegC5034_3B,4.088876813472188e-06,8.660262354345939,1.0,-0.04,298.0,on,0.0,off,1.54,0.0,0.0936275399914552,L-BFGS-B,5,0.003004929045735202,0.004158547078988076,0.031740077063492834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35640855101649743
6,10.0,fitOptimize,QE/C5035-X1Y8.csv,IV/dark/C5035-X2Y10.csv,together,OFF,0.0,1.0,0.0,0.0,0.0,5e+18,0.2,5e+18,0.16461919343972337,5e+16,0.2,-8e+17,0.2,5e+18,0.18179087950742373,5e+16,0.2,-8e+17,0.2,5e+18,0.18456566649216782,5e+16,0.2,-8e+17,0.2,5e+18,0.17529879076006352,5e+16,0.2,-8e+17,0.2,5e+18,0.1801690648508269,5e+16,0.2,-8e+17,0.2,5e+18,0.34169883773824006,5e+16,0.2,-8e+17,0.2,5e+18,0.39756657989116767,5e+16,0.2,-8e+17,0.2,5e+18,0.4115655127031642,5e+16,0.2,-8e+17,0.2,5e+18,0.5006757386183861,5e+16,0.2,-8e+17,0.35,5e+18,0.54,-5e+16,0.0,-8e+17,0.25,-8e+17,1.0,1.0,0.0,IV,0.0,0.0,0.0001,NRC_Anderson,1.041843605122191e-07,2.8298942319490457,1.0,-0.04,298.0,on,0.0,off,1.54,0.0,0.17863542628458268,L-BFGS-B,6,0.023625747371150838,0.029918614646969734,0.11643903746123582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3152310294078081
7,11.0,fitOptimize,QE/C5036-X1Y8.csv,IV/dark/C5036-X2Y10.csv,together,OFF,0.0,1.0,0.0,0.0,0.0,5e+18,0.2,5e+18,0.16461919343972337,5e+16,0.2,-8e+17,0.2,5e+18,0.18179087950742373,5e+16,0.2,-8e+17,0.2,5e+18,0.18456566649216782,5e+16,0.2,-8e+17,0.2,5e+18,0.17529879076006352,5e+16,0.2,-8e+17,0.2,5e+18,0.1801690648508269,5e+16,0.2,-8e+17,0.2,5e+18,0.34169883773824006,5e+16,0.2,-8e+17,0.2,5e+18,0.39756657989116767,5e+16,0.2,-8e+17,0.2,5e+18,0.4115655127031642,5e+16,0.2,-8e+17,0.2,5e+18,0.5006757386183861,5e+16,0.2,-8e+17,0.368,5e+18,0.058,5e+16,0.0,-8e+17,0.25,-8e+17,1.0,1.0,0.0,IV,0.0,0.047,0.02,NRC_MegC5034_3B,1.5741532144833436e-07,15.0,1.0,-0.04,298.0,on,0.0,off,1.54,0.0,0.034,L-BFGS-B,7,0.005642114707865114,0.008352392405193889,0.03673844532023701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34111782581709227
8,4.0,fitOptimize,QE/C5030-X1Y8.csv,IV/dark/C5030-X2Y8.csv,together,OFF,0.0,1.0,0.0,0.0,0.0,5e+18,0.2,5e+18,0.16461919343972337,5e+16,0.2,-8e+17,0.2,5e+18,0.18179087950742373,5e+16,0.2,-8e+17,0.2,5e+18,0.18456566649216782,5e+16,0.2,-8e+17,0.2,5e+18,0.17529879076006352,5e+16,0.2,-8e+17,0.2,5e+18,0.1801690648508269,5e+16,0.2,-8e+17,0.2,5e+18,0.34169883773824006,5e+16,0.2,-8e+17,0.2,5e+18,0.39756657989116767,5e+16,0.2,-8e+17,0.2,5e+18,0.4115655127031642,5e+16,0.2,-8e+17,0.2,5e+18,0.5006757386183861,5e+16,0.2,-8e+17,0.375,5e+18,0.06700000000000002,5e+16,0.0,-8e+17,0.25,-1e+17,1.0,1.0,0.0,IV,0.0,0.008,0.01,NRC_MegC5034_3B,1.2e-05,3.96,1.0,-0.04,298.0,on,0.0,off,1.54,0.0,0.042,L-BFGS-B,8,0.010119630891420544,0.014077778964848136,0.03965184105946427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3709617531416288
9,7.0,fitOptimize,QE/C5031-X1Y8.csv,IV/light/C5031-X1Y9_ND1-9A.csv,together,OFF,0.0,1.0,0.0,0.0,0.0,5e+18,0.2,5e+18,0.16461919343972337,5e+16,0.2,-8e+17,0.2,5e+18,0.18179087950742373,5e+16,0.2,-8e+17,0.2,5e+18,0.18456566649216782,5e+16,0.2,-8e+17,0.2,5e+18,0.17529879076006352,5e+16,0.2,-8e+17,0.2,5e+18,0.1801690648508269,5e+16,0.2,-8e+17,0.2,5e+18,0.34169883773824006,5e+16,0.2,-8e+17,0.2,5e+18,0.39756657989116767,5e+16,0.2,-8e+17,0.2,5e+18,0.4115655127031642,5e+16,0.2,-8e+17,0.2,5e+18,0.5006757386183861,5e+16,0.2,-8e+17,0.3542194761261105,5e+18,0.1876020281911444,7e+16,0.0,-8e+17,0.25,-8e+17,1.0,1.0,0.0,IV,0.0,0.001,0.0001,NRC_MegC5034_3B,1.3858223843698508e-06,2.3,1.0,-0.04,298.0,on,0.0,off,1.54,2.546285323965758,0.009257560958583027,L-BFGS-B,9,0.008354406918544848,0.010508923104426355,0.03566621975996578,0.301356029360183,9.4681,0.5371607497650531,80.60306534918769,5.124230390909263,0.13047752640991575,0.007686437595408616,0.006159813392347796,0.005034391389298169,0.018997935208477083,0.00785212404383027
10,5.0,fitOptimize,QE/C5030-X1Y8.csv,IV/light/C5030-X2Y8_11A-ND1.csv,together,OFF,0.0,1.0,0.0,0.0,0.0,5e+18,0.2,5e+18,0.16461919343972337,5e+16,0.2,-8e+17,0.2,5e+18,0.18179087950742373,5e+16,0.2,-8e+17,0.2,5e+18,0.18456566649216782,5e+16,0.2,-8e+17,0.2,5e+18,0.17529879076006352,5e+16,0.2,-8e+17,0.2,5e+18,0.1801690648508269,5e+16,0.2,-8e+17,0.2,5e+18,0.34169883773824006,5e+16,0.2,-8e+17,0.2,5e+18,0.39756657989116767,5e+16,0.2,-8e+17,0.2,5e+18,0.4115655127031642,5e+16,0.2,-8e+17,0.2,5e+18,0.5006757386183861,5e+16,0.2,-8e+17,0.375,5e+18,0.06700000000000002,5e+16,0.0,-8e+17,0.25,-8e+17,1.0,1.0,0.0,IV,0.0,0.052,0.001,NRC_MegC5034_3B,3.866889184735994e-05,3.02368630460303,1.0,-0.04,298.0,on,0.0,off,1.54,2.595089513576635,0.0891912688985706,L-BFGS-B,10,0.01013199449200412,0.01410359576183063,0.03965184105946427,0.13049688104893,4.0229,0.5461305919452425,79.39650415328262,2.1804477014810195,0.05658456965015671,0.04193493977935196,0.019285415438390546,-0.0014383799092137345,0.06050148664965942,0.007260870692054182
