#Sentaurus Project Experiment and Node Execution Times in Seconds
Project Directory,sDir,/raidC/gforc034/STDB/AirPower/1550_PPC/MJ
Project Parent Opt Node,par_opt_node,-1
Hostname,hostname,dyson.rdc.uolocal
User,user,gforc034
Sentaurus Version,sVer,sentaurus_vS_2021.06
Simulation Start Time,time_sim,20230103_131137
File Creation Time,,20230103_131905

expt #,expt Total,epi_#,epi(s),sde_#,sde(s),MatPar_#,MatPar(s),RCWA_#,RCWA(s),tdx_#,tdx(s),LCMatrix_#,LCMatrix(s),EQE_#,EQE(s),svisual_EQE_#,svisual_EQE(s),QE_Compare_#,QE_Compare(s),optics_#,optics(s),JV_#,JV(s),svisual_1D_#,svisual_1D(s),svisual_JV_#,svisual_JV(s),python_JV_#,python_JV(s),genopt_#,genopt(s),pyCollector_#,pyCollector(s)
1,40,1197,4,1201,2,1214,3,1215,0,1218,6,1219,1,1220,1,1222,4,1225,13,1226,2,1227,2,1229,1,1230,nan,1231,1,3036,0,5372,nan
2,63,1302,5,1306,2,1319,2,1320,1,1323,9,1324,2,1325,1,1327,4,1330,29,1331,2,1332,2,1334,2,1335,nan,1336,1,3037,1,5373,nan
3,55,1512,4,1516,3,1529,2,1530,1,1533,7,1534,2,1535,2,1537,5,1540,22,1541,2,1542,2,1544,2,1545,nan,1546,1,3039,0,5377,nan
4,61,1617,4,1621,2,1634,3,1635,1,1638,8,1639,2,1640,2,1642,4,1645,30,1646,2,1647,2,1649,1,1650,nan,1651,0,3040,0,5379,nan
5,45,1722,5,1726,2,1739,3,1740,1,1743,6,1744,2,1745,2,1747,5,1750,13,1751,2,1752,2,1754,2,1755,nan,1756,0,3041,0,5380,nan
6,250,1827,4,1831,2,1844,3,1845,1,1848,8,1849,1,1850,2,1852,4,1855,219,1856,2,1857,2,1859,2,1860,nan,1861,0,3042,0,5381,nan
7,48,1932,5,1936,3,1949,3,1950,1,1953,6,1954,2,1955,2,1957,4,1960,17,1961,2,1962,2,1964,1,1965,nan,1966,0,3043,0,5382,nan
8,43,1407,4,1411,2,4584,3,4585,0,4587,1,4588,6,4589,1,4590,2,4592,4,4595,14,4596,2,4597,2,4599,1,4600,nan,4601,1,5375,nan
9,44,5113,4,5117,2,5126,3,5127,0,5129,1,5130,8,5131,2,5132,2,5134,4,5137,13,5138,2,5139,2,5141,1,5142,nan,5143,0,5378,nan
10,40,5216,4,5220,2,5229,3,5230,1,5232,0,5233,7,5234,1,5235,1,5237,5,5240,11,5241,2,5242,2,5244,1,5245,nan,5246,0,5376,nan
11,52,5319,4,5323,2,5332,2,5333,1,5335,1,5336,8,5337,2,5338,2,5340,4,5343,19,5344,2,5345,2,5347,2,5348,nan,5349,1,5374,nan
12,67,5458,5,5463,3,5472,3,5473,nan,5474,1,5476,0,5477,10,5478,2,5479,2,5481,4,5484,31,5485,2,5486,2,5488,1,5489,nan,5490,1
