# title     = Sopra (Al(x)Ga(1-x))(50)In(50)P
# reference = Sopra database (H.KATO et al., Japan J. Appl. Phys. Vol 33 (1994) pp. 186-192)
# note      = Al-Concentration x = 0.1
# unit      = micro-m,1,1
# columns   = wavelength, n, k
# xtitle    = wavelength [micro-m]
# ytitle    = n, k
# dataType  = list
0.2250 1.52667 2.720966
0.2275 1.575226 2.777812
0.2300 1.629968 2.83651
0.2325 1.692032 2.896551
0.2350 1.762681 2.957106
0.2375 1.843243 3.016913
0.2400 1.935 3.074153
0.2425 2.038994 3.126323
0.2450 2.155724 3.170182
0.2475 2.284737 3.201813
0.2500 2.42416 3.216912
0.2525 2.570333 3.21141
0.2550 2.717749 3.182363
0.2575 2.859558 3.12894
0.2600 2.988692 3.053046
0.2625 3.099097 2.959387
0.2650 3.187193 2.854407
0.2675 3.252119 2.745064
0.2700 3.295452 2.637537
0.2725 3.320375 2.536466
0.2750 3.330754 2.444755
0.2775 3.330431 2.363785
0.2800 3.322798 2.293816
0.2825 3.310628 2.234368
0.2850 3.296063 2.184564
0.2875 3.280686 2.143348
0.2900 3.265629 2.109637
0.2925 3.251669 2.082401
0.2950 3.239324 2.060706
0.2975 3.228919 2.043731
0.3000 3.220649 2.030767
0.3025 3.214615 2.021212
0.3050 3.210863 2.014558
0.3075 3.209401 2.010377
0.3100 3.210216 2.008314
0.3125 3.213294 2.008072
0.3150 3.218619 2.009402
0.3175 3.226187 2.012091
0.3200 3.236012 2.015962
0.3225 3.248129 2.020851
0.3250 3.26259 2.026591
0.3275 3.279425 2.033166
0.3300 3.298561 2.040875
0.3325 3.32065 2.048309
0.3350 3.345547 2.055948
0.3375 3.373438 2.063519
0.3400 3.404505 2.070712
0.3425 3.438928 2.077153
0.3450 3.47686 2.082381
0.3475 3.518408 2.085849
0.3500 3.563597 2.086922
0.3525 3.612331 2.084881
0.3550 3.664364 2.078956
0.3575 3.719257 2.068356
0.3600 3.776359 2.05233
0.3625 3.834802 2.030239
0.3650 3.893527 2.001616
0.3675 3.951325 1.966253
0.3700 4.006928 1.924232
0.3725 4.059097 1.875958
0.3750 4.106718 1.822126
0.3775 4.148893 1.763674
0.3800 4.184988 1.701708
0.3825 4.214668 1.637397
0.3850 4.237882 1.571885
0.3875 4.254818 1.506228
0.3900 4.265851 1.441385
0.3925 4.271506 1.378085
0.3950 4.272372 1.316913
0.3975 4.269072 1.258284
0.4000 4.262219 1.202471
0.4025 4.252399 1.149624
0.4050 4.240142 1.099799
0.4075 4.225925 1.052971
0.4100 4.210167 1.009068
0.4125 4.193227 0.967976
0.4150 4.175413 0.929558
0.4175 4.156978 0.893661
0.4200 4.13814 0.86013
0.4225 4.119075 0.828806
0.4250 4.099927 0.799532
0.4275 4.080814 0.77216
0.4300 4.061828 0.74655
0.4325 4.043073 0.722579
0.4350 4.024357 0.700004
0.4375 4.00562 0.678664
0.4400 3.987796 0.65888
0.4425 3.970301 0.640258
0.4450 3.953193 0.622725
0.4475 3.936483 0.6062
0.4500 3.920175 0.590603
0.4525 3.904273 0.575864
0.4550 3.888786 0.561926
0.4575 3.873707 0.548725
0.4600 3.85903 0.536208
0.4625 3.844751 0.524326
0.4650 3.830861 0.513033
0.4675 3.817355 0.502287
0.4700 3.804222 0.49205
0.4725 3.791455 0.482288
0.4750 3.779043 0.472968
0.4775 3.766978 0.464059
0.4800 3.75525 0.455536
0.4825 3.743847 0.447371
0.4850 3.732762 0.439542
0.4875 3.721985 0.432026
0.4900 3.711507 0.424805
0.4925 3.701319 0.417858
0.4950 3.69141 0.411169
0.4975 3.681774 0.404722
0.5000 3.6724 0.398501
0.5025 3.663282 0.392493
0.5050 3.65441 0.386684
0.5075 3.645778 0.381062
0.5100 3.637376 0.375615
0.5125 3.629199 0.370335
0.5150 3.621237 0.365208
0.5175 3.613485 0.360226
0.5200 3.605939 0.355382
0.5225 3.598588 0.350665
0.5250 3.591429 0.34607
0.5275 3.584454 0.341586
0.5300 3.577658 0.337208
0.5325 3.571036 0.33293
0.5350 3.56458 0.328743
0.5375 3.558287 0.324641
0.5400 3.55215 0.320621
0.5425 3.546166 0.316676
0.5450 3.540328 0.312801
0.5475 3.534633 0.30899
0.5500 3.529075 0.305237
0.5525 3.523649 0.30154
0.5550 3.518352 0.297893
0.5575 3.513179 0.294291
0.5600 3.508125 0.29073
0.5625 3.503186 0.287206
0.5650 3.498357 0.283715
0.5675 3.493635 0.280252
0.5700 3.489016 0.276813
0.5725 3.484493 0.273395
0.5750 3.480064 0.269994
0.5775 3.475723 0.266604
0.5800 3.471467 0.263223
0.5825 3.46729 0.259847
0.5850 3.463186 0.25647
0.5875 3.459152 0.25309
0.5900 3.455181 0.249702
0.5925 3.451267 0.246303
0.5950 3.447403 0.242888
0.5975 3.443582 0.239453
0.6000 3.439796 0.235994
0.6025 3.436035 0.232507
0.6050 3.432289 0.22899
0.6075 3.428546 0.22544
0.6100 3.424792 0.221855
0.6125 3.421013 0.218236
0.6150 3.417191 0.214586
