# title     = Sopra (Al(x)Ga(1-x))(50)In(50)P
# reference = Sopra database (H.KATO et al., Japan J. Appl. Phys. Vol 33 (1994) pp. 186-192)
# note      = Al-Concentration x = 1.0
# unit      = micro-m,1,1
# columns   = wavelength, n, k
# xtitle    = wavelength [micro-m]
# ytitle    = n, k
# dataType  = list
0.2250 1.531465 2.563804
0.2275 1.57406 2.61632
0.2300 1.622292 2.67136
0.2325 1.677386 2.728588
0.2350 1.740749 2.787354
0.2375 1.813949 2.846553
0.2400 1.898605 2.904456
0.2425 1.996186 2.958518
0.2450 2.107665 3.005242
0.2475 2.232986 3.04016
0.2500 2.370401 3.058124
0.2525 2.515853 3.054038
0.2550 2.662699 3.024069
0.2575 2.802035 2.967198
0.2600 2.924195 2.8877
0.2625 3.025815 2.793728
0.2650 3.104156 2.690141
0.2675 3.158189 2.584893
0.2700 3.190558 2.484872
0.2725 3.20565 2.394692
0.2750 3.208262 2.316764
0.2775 3.202791 2.251798
0.2800 3.192883 2.199408
0.2825 3.181378 2.158584
0.2850 3.170369 2.128143
0.2875 3.161164 2.107345
0.2900 3.155559 2.093592
0.2925 3.154099 2.086392
0.2950 3.157503 2.084624
0.2975 3.166363 2.087235
0.3000 3.181203 2.093197
0.3025 3.202494 2.101443
0.3050 3.230644 2.110836
0.3075 3.265966 2.120122
0.3100 3.308624 2.127906
0.3125 3.358558 2.132653
0.3150 3.415393 2.13272
0.3175 3.478368 2.126432
0.3200 3.546269 2.112206
0.3225 3.617439 2.088702
0.3250 3.68975 2.055033
0.3275 3.760897 2.010867
0.3300 3.828492 1.956542
0.3325 3.890335 1.893062
0.3350 3.944631 1.82198
0.3375 3.990138 1.745222
0.3400 4.026228 1.664855
0.3425 4.052852 1.582892
0.3450 4.070436 1.501126
0.3475 4.079751 1.421028
0.3500 4.081768 1.343721
0.3525 4.077539 1.269991
0.3550 4.068117 1.200321
0.3575 4.054481 1.134958
0.3600 4.037511 1.073962
0.3625 4.017977 1.017262
0.3650 3.996524 0.964692
0.3675 3.973694 0.916037
0.3700 3.94993 0.871043
0.3725 3.92559 0.829448
0.3750 3.900959 0.79099
0.3775 3.876263 0.755409
0.3800 3.851679 0.722466
0.3825 3.827342 0.691932
0.3850 3.803354 0.663594
0.3875 3.779786 0.637256
0.3900 3.756709 0.612759
0.3925 3.734179 0.589942
0.3950 3.711996 0.568568
0.3975 3.689928 0.548406
0.4000 3.669105 0.529802
0.4025 3.648817 0.512349
0.4050 3.629098 0.495966
0.4075 3.609941 0.480567
0.4100 3.591336 0.466073
0.4125 3.573271 0.452411
0.4150 3.555732 0.439517
0.4175 3.538705 0.427333
0.4200 3.522174 0.415804
0.4225 3.506124 0.404883
0.4250 3.49054 0.394525
0.4275 3.475406 0.38469
0.4300 3.460706 0.375343
0.4325 3.446425 0.366448
0.4350 3.432548 0.357975
0.4375 3.419061 0.349897
0.4400 3.405951 0.342188
0.4425 3.393201 0.334823
0.4450 3.380801 0.327782
0.4475 3.368737 0.321045
0.4500 3.356995 0.31459
0.4525 3.345564 0.308403
0.4550 3.334437 0.302469
0.4575 3.323601 0.296773
0.4600 3.313044 0.2913
0.4625 3.302757 0.286038
0.4650 3.29273 0.280975
0.4675 3.282954 0.276102
0.4700 3.273421 0.271407
0.4725 3.264122 0.266882
0.4750 3.255048 0.262516
0.4775 3.246192 0.258303
0.4800 3.237547 0.254234
0.4825 3.229107 0.250303
0.4850 3.220863 0.246502
0.4875 3.212809 0.242826
0.4900 3.204938 0.239269
0.4925 3.197247 0.235824
0.4950 3.189728 0.232487
0.4975 3.182376 0.229253
0.5000 3.175186 0.226117
0.5025 3.168151 0.223074
0.5050 3.161268 0.220122
0.5075 3.154534 0.217255
0.5100 3.147941 0.214471
0.5125 3.141487 0.211766
0.5150 3.135165 0.209136
0.5175 3.128973 0.206578
0.5200 3.122909 0.20409
0.5225 3.116967 0.201669
0.5250 3.111145 0.199311
0.5275 3.105438 0.197016
0.5300 3.099843 0.19478
0.5325 3.094358 0.192601
0.5350 3.088978 0.190476
0.5375 3.083702 0.188404
0.5400 3.078526 0.186383
0.5425 3.073447 0.184412
0.5450 3.068464 0.182488
0.5475 3.063573 0.180609
0.5500 3.058772 0.178774
0.5525 3.054058 0.176981
0.5550 3.04943 0.175231
0.5575 3.044884 0.173519
0.5600 3.04042 0.171846
0.5625 3.036035 0.170209
0.5650 3.031725 0.168609
0.5675 3.027492 0.167043
0.5700 3.023331 0.165511
0.5725 3.019241 0.164011
0.5750 3.015222 0.162542
0.5775 3.011268 0.161104
0.5800 3.007382 0.159695
0.5825 3.003561 0.158315
0.5850 2.999801 0.156963
0.5875 2.996104 0.155638
0.5900 2.992468 0.154338
0.5925 2.988889 0.153065
0.5950 2.985368 0.151816
0.5975 2.981903 0.150591
0.6000 2.978493 0.149389
0.6025 2.975137 0.148209
0.6050 2.971832 0.147052
0.6075 2.968579 0.145916
0.6100 2.965376 0.1448
0.6125 2.962222 0.143705
0.6150 2.959115 0.142629
0.6175 2.956055 0.141572
0.6200 2.953042 0.140534
0.6225 2.950073 0.139514
0.6250 2.947148 0.138511
0.6275 2.944265 0.137527
0.6300 2.941425 0.136559
0.6325 2.938625 0.135606
0.6350 2.935867 0.134669
0.6375 2.933148 0.133749
0.6400 2.930467 0.132844
0.6425 2.927824 0.131952
0.6450 2.925218 0.131075
0.6475 2.922648 0.130213
0.6500 2.920114 0.129364
0.6525 2.917616 0.128528
0.6550 2.915151 0.127705
0.6575 2.91272 0.126895
0.6600 2.910322 0.126098
0.6625 2.907957 0.125313
0.6650 2.905623 0.12454
0.6675 2.90332 0.123777
0.6700 2.901047 0.123027
0.6725 2.898805 0.122287
0.6750 2.896591 0.121558
0.6775 2.894407 0.120841
0.6800 2.892251 0.120133
0.6825 2.890122 0.119435
0.6850 2.888021 0.118748
0.6875 2.885947 0.11807
0.6900 2.883898 0.117401
0.6925 2.881876 0.116742
0.6950 2.879879 0.116092
0.6975 2.877906 0.11545
0.7000 2.875958 0.114818
0.7025 2.874034 0.114194
0.7050 2.872134 0.113579
0.7075 2.870257 0.112971
0.7100 2.868402 0.112372
0.7125 2.866569 0.11178
0.7150 2.86476 0.111196
0.7175 2.862971 0.11062
0.7200 2.861204 0.110051
0.7225 2.859458 0.10949
0.7250 2.857732 0.108935
