# title     = Sopra (Al(x)Ga(1-x))(50)In(50)P
# reference = Sopra database (H.KATO et al., Japan J. Appl. Phys. Vol 33 (1994) pp. 186-192)
# note      = Al-Concentration x = 0.0
# unit      = micro-m,1,1
# columns   = wavelength, n, k
# xtitle    = wavelength [micro-m]
# ytitle    = n, k
# dataType  = list
0.2250 1.523143 2.823144
0.2275 1.577333 2.885352
0.2300 1.638632 2.949227
0.2325 1.708263 3.014096
0.2350 1.787558 3.078915
0.2375 1.877872 3.142153
0.2400 1.980443 3.201662
0.2425 2.096169 3.25458
0.2450 2.225249 3.297297
0.2475 2.366771 3.325591
0.2500 2.518241 3.335017
0.2525 2.675292 3.321612
0.2550 2.831759 3.28285
0.2575 2.980359 3.218573
0.2600 3.11394 3.131467
0.2625 3.226689 3.026924
0.2650 3.31548 2.911826
0.2675 3.379933 2.793294
0.2700 3.422014 2.67748
0.2725 3.445152 2.568906
0.2750 3.453356 2.470357
0.2775 3.450537 2.383119
0.2800 3.440126 2.30739
0.2825 3.424927 2.242659
0.2850 3.407113 2.188024
0.2875 3.388303 2.142414
0.2900 3.369659 2.104727
0.2925 3.351992 2.073911
0.2950 3.335845 2.049014
0.2975 3.321566 2.029188
0.3000 3.309366 2.0137
0.3025 3.299354 2.001924
0.3050 3.291577 1.993328
0.3075 3.28604 1.987468
0.3100 3.282722 1.983974
0.3125 3.281591 1.98254
0.3150 3.282613 1.982913
0.3175 3.285761 1.98489
0.3200 3.291021 1.988302
0.3225 3.298399 1.993019
0.3250 3.307914 1.998925
0.3275 3.319625 2.005929
0.3300 3.333623 2.013933
0.3325 3.349968 2.022989
0.3350 3.368622 2.033437
0.3375 3.390383 2.043971
0.3400 3.415164 2.055105
0.3425 3.443275 2.066606
0.3450 3.475053 2.078184
0.3475 3.510859 2.089447
0.3500 3.551053 2.099871
0.3525 3.59596 2.108774
0.3550 3.645823 2.115305
0.3575 3.700727 2.118433
0.3600 3.760525 2.116979
0.3625 3.82476 2.109666
0.3650 3.892596 2.09522
0.3675 3.962783 2.072504
0.3700 4.033687 2.04067
0.3725 4.103381 1.99932
0.3750 4.169808 1.948606
0.3775 4.23099 1.889274
0.3800 4.285229 1.8226
0.3825 4.331277 1.750252
0.3850 4.368425 1.674095
0.3875 4.3965 1.596001
0.3900 4.415775 1.517746
0.3925 4.426914 1.440766
0.3950 4.43079 1.36621
0.3975 4.428392 1.294908
0.4000 4.420723 1.227394
0.4025 4.408744 1.163965
0.4050 4.393329 1.104725
0.4075 4.375243 1.049636
0.4100 4.355144 0.998564
0.4125 4.333581 0.951312
0.4150 4.31101 0.907646
0.4175 4.287797 0.867315
0.4200 4.26424 0.830063
0.4225 4.24057 0.795641
0.4250 4.216974 0.763812
0.4275 4.193593 0.73435
0.4300 4.170535 0.707049
0.4325 4.147882 0.681716
0.4350 4.125721 0.65819
0.4375 4.10384 0.636204
0.4400 4.082174 0.615575
0.4425 4.06163 0.596553
0.4450 4.04161 0.578756
0.4475 4.022156 0.562095
0.4500 4.003263 0.546471
0.4525 3.984924 0.531797
0.4550 3.967138 0.518001
0.4575 3.94989 0.505008
0.4600 3.933165 0.492754
0.4625 3.91695 0.48118
0.4650 3.901231 0.470233
0.4675 3.885992 0.459866
0.4700 3.871218 0.450034
0.4725 3.856894 0.440699
0.4750 3.843005 0.431824
0.4775 3.829535 0.423375
0.4800 3.816471 0.415323
0.4825 3.803797 0.407639
0.4850 3.7915 0.400298
0.4875 3.779567 0.393278
0.4900 3.767985 0.386556
0.4925 3.756741 0.380113
0.4950 3.745822 0.373929
0.4975 3.735217 0.367989
0.5000 3.724917 0.362277
0.5025 3.714908 0.356779
0.5050 3.705181 0.351481
0.5075 3.695726 0.346369
0.5100 3.686534 0.341433
0.5125 3.677595 0.336663
0.5150 3.6689 0.332048
0.5175 3.660441 0.327577
0.5200 3.652212 0.323244
0.5225 3.644203 0.31904
0.5250 3.636407 0.314956
0.5275 3.628817 0.310986
0.5300 3.621426 0.307123
0.5325 3.614228 0.30336
0.5350 3.607215 0.299691
0.5375 3.600383 0.29611
0.5400 3.593725 0.292612
0.5425 3.587235 0.289192
0.5450 3.580908 0.285845
0.5475 3.57474 0.282567
0.5500 3.568725 0.279352
0.5525 3.562856 0.276197
0.5550 3.55713 0.273097
0.5575 3.551544 0.270049
0.5600 3.546091 0.267049
0.5625 3.540767 0.264093
0.5650 3.535569 0.261178
0.5675 3.530493 0.258301
0.5700 3.525534 0.255459
0.5725 3.520689 0.252647
0.5750 3.515952 0.249864
0.5775 3.511321 0.247105
0.5800 3.506793 0.244369
0.5825 3.502363 0.241653
0.5850 3.498028 0.238952
0.5875 3.493784 0.236265
0.5900 3.489628 0.23359
0.5925 3.485555 0.230923
0.5950 3.481563 0.228261
0.5975 3.477647 0.225602
0.6000 3.473804 0.222943
0.6025 3.47003 0.220282
0.6050 3.46632 0.217615
0.6075 3.46267 0.21494
0.6100 3.459076 0.212253
0.6125 3.455534 0.209552
0.6150 3.452036 0.206836
0.6175 3.448578 0.2041
0.6200 3.445155 0.201342
0.6225 3.441758 0.19856
0.6250 3.438381 0.195752
0.6275 3.435015 0.192916
0.6300 3.431651 0.190052
0.6325 3.428278 0.187159
0.6350 3.424885 0.184238
0.6375 3.421459 0.181292
0.6400 3.417987 0.178329
0.6425 3.414453 0.175358
0.6450 3.410846 0.172391
0.6475 3.407155 0.169445
0.6500 3.403372 0.166546
0.6525 3.399498 0.163716
0.6550 3.395539 0.160982
0.6575 3.391511 0.158367
0.6600 3.387434 0.155887
0.6625 3.383334 0.153552
0.6650 3.379234 0.151364
0.6675 3.375157 0.149317
0.6700 3.37112 0.147403
0.6725 3.367136 0.14561
0.6750 3.363214 0.143927
0.6775 3.359361 0.142341
0.6800 3.355579 0.140841
0.6825 3.351869 0.139418
0.6850 3.348231 0.138063
0.6875 3.344666 0.136768
0.6900 3.341171 0.135528
0.6925 3.337743 0.134336
0.6950 3.334383 0.133188
0.6975 3.331087 0.13208
0.7000 3.327853 0.131009
0.7025 3.324679 0.129971
0.7050 3.321563 0.128964
0.7075 3.318504 0.127985
0.7100 3.315497 0.127033
0.7125 3.312544 0.126105
0.7150 3.309642 0.1252
0.7175 3.306789 0.124317
0.7200 3.303983 0.123454
0.7225 3.301224 0.12261
0.7250 3.29851 0.121785
0.7275 3.295838 0.120976
0.7300 3.293208 0.120184
0.7325 3.29062 0.119408
0.7350 3.288072 0.118647
0.7375 3.285562 0.1179
0.7400 3.283089 0.117167
0.7425 3.280653 0.116447
0.7450 3.278253 0.115739
0.7475 3.275887 0.115044
0.7500 3.273555 0.11436
0.7525 3.271256 0.113689
0.7550 3.26899 0.113027
0.7575 3.266755 0.112376
0.7600 3.264551 0.111736
0.7625 3.262377 0.111106
0.7650 3.260232 0.110484
0.7675 3.258116 0.109873
0.7700 3.256027 0.109271
0.7725 3.253966 0.108676
0.7750 3.251932 0.108091
0.7775 3.249923 0.107514
0.7800 3.247942 0.106946
0.7825 3.245985 0.106384
0.7850 3.244053 0.105831
0.7875 3.242145 0.105286
0.7900 3.240261 0.104748
0.7925 3.2384 0.104217
0.7950 3.236562 0.103692
0.7975 3.234746 0.103175
0.8000 3.232952 0.102664
0.8025 3.231179 0.10216
0.8050 3.229428 0.101662
0.8075 3.227697 0.101171
0.8100 3.225987 0.100685
0.8125 3.224296 0.100206
0.8150 3.222625 0.099732
0.8175 3.220973 0.099263
0.8200 3.219341 0.098801
0.8225 3.217727 0.098344
0.8250 3.216131 0.097892
0.8275 3.214553 0.097446
0.8300 3.212993 0.097005
0.8325 3.21145 0.096568
0.8350 3.209924 0.096137
0.8375 3.208415 0.095711
0.8400 3.206921 0.095289
0.8425 3.205445 0.094872
0.8450 3.203984 0.09446
0.8475 3.202539 0.094052
0.8500 3.20111 0.093649
0.8525 3.199696 0.09325
0.8550 3.198296 0.092855
0.8575 3.196911 0.092465
0.8600 3.195541 0.092078
0.8625 3.194185 0.091696
0.8650 3.192843 0.091317
0.8675 3.191515 0.090943
0.8700 3.1902 0.090573
0.8725 3.1889 0.090206
0.8750 3.187612 0.089843
0.8775 3.186337 0.089483
0.8800 3.185075 0.089128
0.8825 3.183826 0.088775
0.8850 3.182589 0.088426
0.8875 3.181365 0.088081
0.8900 3.180152 0.087739
0.8925 3.178951 0.087401
0.8950 3.177762 0.087065
0.8975 3.176584 0.086733
0.9000 3.175417 0.086404
0.9025 3.174263 0.086078
0.9050 3.173119 0.085755
0.9075 3.171986 0.085435
0.9100 3.170863 0.085118
0.9125 3.169752 0.084805
0.9150 3.16865 0.084494
0.9175 3.16756 0.084186
0.9200 3.166479 0.08388
0.9225 3.165409 0.083578
0.9250 3.164349 0.083278
0.9275 3.163298 0.082981
0.9300 3.162257 0.082686
0.9325 3.161225 0.082395
0.9350 3.160203 0.082105
0.9375 3.15919 0.081819
0.9400 3.158186 0.081535
0.9425 3.157192 0.081253
0.9450 3.156207 0.080974
