# Optical n & k TableODB values according to Palik
# Column Entries: wavelength [um], refractive index [1], extinction coefficient [1]
2.1600000E-01,1.2730009E+00,2.8740019E+00
2.1700000E-01,1.2861902E+00,2.8682574E+00
2.1800000E-01,1.3038738E+00,2.8625130E+00
2.1900000E-01,1.3263457E+00,2.8567686E+00
2.2000000E-01,1.3466229E+00,2.8513509E+00
2.2100000E-01,1.3561757E+00,2.8475297E+00
2.2200000E-01,1.3630010E+00,2.8449997E+00
2.2300000E-01,1.3680056E+00,2.8433315E+00
2.2400000E-01,1.3729920E+00,2.8420000E+00
2.2500000E-01,1.3779072E+00,2.8420000E+00
2.2600000E-01,1.3816166E+00,2.8436166E+00
2.2700000E-01,1.3844320E+00,2.8464320E+00
2.2800000E-01,1.3867918E+00,2.8492603E+00
2.2900000E-01,1.3844224E+00,2.8522220E+00
2.3000000E-01,1.3820705E+00,2.8575631E+00
2.3100000E-01,1.3797447E+00,2.8664786E+00
2.3200000E-01,1.3774189E+00,2.8753941E+00
2.3300000E-01,1.3741927E+00,2.8863577E+00
2.3400000E-01,1.3708739E+00,2.8980343E+00
2.3500000E-01,1.3690072E+00,2.9133407E+00
2.3600000E-01,1.3671406E+00,2.9286471E+00
2.3700000E-01,1.3655726E+00,2.9454796E+00
2.3800000E-01,1.3644737E+00,2.9647095E+00
2.3900000E-01,1.3644088E+00,2.9811961E+00
2.4000000E-01,1.3651274E+00,2.9956038E+00
2.4100000E-01,1.3658460E+00,3.0100114E+00
2.4200000E-01,1.3676611E+00,3.0379744E+00
2.4300000E-01,1.3697754E+00,3.0696361E+00
2.4400000E-01,1.3737058E+00,3.0955436E+00
2.4500000E-01,1.3778521E+00,3.1207672E+00
2.4600000E-01,1.3819985E+00,3.1459907E+00
2.4700000E-01,1.3880953E+00,3.1719050E+00
2.4800000E-01,1.3942415E+00,3.1978926E+00
2.4900000E-01,1.4018783E+00,3.2261153E+00
2.5000000E-01,1.4095150E+00,3.2543380E+00
2.5100000E-01,1.4171745E+00,3.2825818E+00
2.5200000E-01,1.4259601E+00,3.3118670E+00
2.5300000E-01,1.4347457E+00,3.3411522E+00
2.5400000E-01,1.4458351E+00,3.3720287E+00
2.5500000E-01,1.4569933E+00,3.4029527E+00
2.5600000E-01,1.4681514E+00,3.4338767E+00
2.5700000E-01,1.4809435E+00,3.4663586E+00
2.5800000E-01,1.4940600E+00,3.4991499E+00
2.5900000E-01,1.5082707E+00,3.5336069E+00
2.6000000E-01,1.5229513E+00,3.5687792E+00
2.6100000E-01,1.5376319E+00,3.6039514E+00
2.6200000E-01,1.5537262E+00,3.6404182E+00
2.6300000E-01,1.5716946E+00,3.6786011E+00
2.6400000E-01,1.5903627E+00,3.7175461E+00
2.6500000E-01,1.6117630E+00,3.7594673E+00
2.6600000E-01,1.6331634E+00,3.8013886E+00
2.6700000E-01,1.6545638E+00,3.8433099E+00
2.6800000E-01,1.6798109E+00,3.8888455E+00
2.6900000E-01,1.7060639E+00,3.9353262E+00
2.7000000E-01,1.7356735E+00,3.9846298E+00
2.7100000E-01,1.7690809E+00,4.0371271E+00
2.7200000E-01,1.8024883E+00,4.0896245E+00
2.7300000E-01,1.8358958E+00,4.1421219E+00
2.7400000E-01,1.8815983E+00,4.2030504E+00
2.7500000E-01,1.9285604E+00,4.2648426E+00
2.7600000E-01,1.9881648E+00,4.3286870E+00
2.7700000E-01,2.0614879E+00,4.3947583E+00
2.7800000E-01,2.1348109E+00,4.4608296E+00
2.7900000E-01,2.2081340E+00,4.5269010E+00
2.8000000E-01,2.3124019E+00,4.5805402E+00
2.8100000E-01,2.4266391E+00,4.6301742E+00
2.8200000E-01,2.5451792E+00,4.6681056E+00
2.8300000E-01,2.6791763E+00,4.6639984E+00
2.8400000E-01,2.8131733E+00,4.6598912E+00
2.8500000E-01,2.9471704E+00,4.6557840E+00
2.8600000E-01,3.0743676E+00,4.6353011E+00
2.8700000E-01,3.1872570E+00,4.5803616E+00
2.8800000E-01,3.3001464E+00,4.5254221E+00
2.8900000E-01,3.3860567E+00,4.4581287E+00
2.9000000E-01,3.4583568E+00,4.3846032E+00
2.9100000E-01,3.5306569E+00,4.3110777E+00
