"x","y"
1e+15,140.638
1.12332e+15,140.183
1.26186e+15,139.708
1.41747e+15,139.211
1.59228e+15,138.692
1.78865e+15,138.15
2.00923e+15,137.585
2.25702e+15,136.995
2.53536e+15,136.38
2.84804e+15,135.739
3.19927e+15,135.072
3.59381e+15,134.376
4.03702e+15,133.652
4.53488e+15,132.899
5.09414e+15,132.115
5.72237e+15,131.301
6.42807e+15,130.455
7.22081e+15,129.577
8.11131e+15,128.666
9.11163e+15,127.721
1.02353e+16,126.742
1.14976e+16,125.728
1.29155e+16,124.679
1.45083e+16,123.594
1.62975e+16,122.472
1.83074e+16,121.314
2.05651e+16,120.12
2.31013e+16,118.888
2.59502e+16,117.619
2.91505e+16,116.313
3.27455e+16,114.97
3.67838e+16,113.59
4.13201e+16,112.174
4.64159e+16,110.722
5.21401e+16,109.234
5.85702e+16,107.712
6.57933e+16,106.155
7.39072e+16,104.566
8.30218e+16,102.944
9.32603e+16,101.291
1.04762e+17,99.6088
1.17681e+17,97.8983
1.32194e+17,96.161
1.48497e+17,94.3988
1.6681e+17,92.6133
1.87382e+17,90.8064
2.1049e+17,88.9801
2.36449e+17,87.1365
2.65609e+17,85.2777
2.98365e+17,83.4059
3.3516e+17,81.5235
3.76494e+17,79.6327
4.22924e+17,77.736
4.75081e+17,75.8358
5.3367e+17,73.9346
5.99484e+17,72.0346
6.73415e+17,70.1386
7.56463e+17,68.2487
8.49753e+17,66.3674
9.54548e+17,64.4971
1.07227e+18,62.64
1.2045e+18,60.7983
1.35305e+18,58.9743
1.51991e+18,57.1699
1.70735e+18,55.3871
1.91791e+18,53.6278
2.15443e+18,51.8937
2.42013e+18,50.1865
2.71859e+18,48.5077
3.05386e+18,46.8587
3.43047e+18,45.2407
3.85353e+18,43.655
4.32876e+18,42.1025
4.8626e+18,40.5841
5.46228e+18,39.1007
6.13591e+18,37.6528
6.89261e+18,36.2411
7.74264e+18,34.8658
8.69749e+18,33.5273
9.7701e+18,32.2259
1.0975e+19,30.9615
1.23285e+19,29.7342
1.38489e+19,28.5439
1.55568e+19,27.3904
1.74753e+19,26.2734
1.96304e+19,25.1927
2.20513e+19,24.1477
2.47708e+19,23.138
2.78256e+19,22.1631
3.12572e+19,21.2223
3.51119e+19,20.3152
3.94421e+19,19.441
4.43062e+19,18.5991
4.97702e+19,17.7886
5.59081e+19,17.0088
6.28029e+19,16.2591
7.0548e+19,15.5385
7.92483e+19,14.8463
8.90215e+19,14.1817

