"x","y"
1e+15,7921.28
1.12332e+15,7863.91
1.26186e+15,7804.8
1.41747e+15,7743.93
1.59228e+15,7681.28
1.78865e+15,7616.84
2.00923e+15,7550.61
2.25702e+15,7482.58
2.53536e+15,7412.75
2.84804e+15,7341.14
3.19927e+15,7267.73
3.59381e+15,7192.56
4.03702e+15,7115.63
4.53488e+15,7036.96
5.09414e+15,6956.59
5.72237e+15,6874.53
6.42807e+15,6790.84
7.22081e+15,6705.54
8.11131e+15,6618.69
9.11163e+15,6530.34
1.02353e+16,6440.53
1.14976e+16,6349.34
1.29155e+16,6256.82
1.45083e+16,6163.05
1.62975e+16,6068.1
1.83074e+16,5972.06
2.05651e+16,5874.99
2.31013e+16,5777
2.59502e+16,5678.17
2.91505e+16,5578.6
3.27455e+16,5478.38
3.67838e+16,5377.61
4.13201e+16,5276.4
4.64159e+16,5174.85
5.21401e+16,5073.06
5.85702e+16,4971.14
6.57933e+16,4869.2
7.39072e+16,4767.35
8.30218e+16,4665.69
9.32603e+16,4564.32
1.04762e+17,4463.36
1.17681e+17,4362.9
1.32194e+17,4263.05
1.48497e+17,4163.9
1.6681e+17,4065.55
1.87382e+17,3968.09
2.1049e+17,3871.61
2.36449e+17,3776.19
2.65609e+17,3681.92
2.98365e+17,3588.88
3.3516e+17,3497.13
3.76494e+17,3406.74
4.22924e+17,3317.78
4.75081e+17,3230.29
5.3367e+17,3144.35
5.99484e+17,3059.99
6.73415e+17,2977.25
7.56463e+17,2896.17
8.49753e+17,2816.79
9.54548e+17,2739.14
1.07227e+18,2663.23
1.2045e+18,2589.09
1.35305e+18,2516.73
1.51991e+18,2446.16
1.70735e+18,2377.39
1.91791e+18,2310.41
2.15443e+18,2245.23
2.42013e+18,2181.84
2.71859e+18,2120.23
3.05386e+18,2060.39
3.43047e+18,2002.31
3.85353e+18,1945.96
4.32876e+18,1891.32
4.8626e+18,1838.38
5.46228e+18,1787.11
6.13591e+18,1737.48
6.89261e+18,1689.47
7.74264e+18,1643.04
8.69749e+18,1598.16
9.7701e+18,1554.81
1.0975e+19,1512.95
1.23285e+19,1472.54
1.38489e+19,1433.55
1.55568e+19,1395.95
1.74753e+19,1359.7
1.96304e+19,1324.77
2.20513e+19,1291.11
2.47708e+19,1258.71
2.78256e+19,1227.5
3.12572e+19,1197.48
3.51119e+19,1168.59
3.94421e+19,1140.8
4.43062e+19,1114.08
4.97702e+19,1088.4
5.59081e+19,1063.71
6.28029e+19,1040
7.0548e+19,1017.22
7.92483e+19,995.347
8.90215e+19,974.345

