"x","y"
1e+15,3873.39
1.12332e+15,3841.46
1.26186e+15,3807.48
1.41747e+15,3771.38
1.59228e+15,3733.06
1.78865e+15,3692.47
2.00923e+15,3649.54
2.25702e+15,3604.21
2.53536e+15,3556.46
2.84804e+15,3506.23
3.19927e+15,3453.52
3.59381e+15,3398.33
4.03702e+15,3340.67
4.53488e+15,3280.58
5.09414e+15,3218.1
5.72237e+15,3153.33
6.42807e+15,3086.34
7.22081e+15,3017.27
8.11131e+15,2946.24
9.11163e+15,2873.42
1.02353e+16,2799
1.14976e+16,2723.17
1.29155e+16,2646.15
1.45083e+16,2568.17
1.62975e+16,2489.48
1.83074e+16,2410.33
2.05651e+16,2330.98
2.31013e+16,2251.7
2.59502e+16,2172.73
2.91505e+16,2094.35
3.27455e+16,2016.81
3.67838e+16,1940.33
4.13201e+16,1865.15
4.64159e+16,1791.47
5.21401e+16,1719.49
5.85702e+16,1649.38
6.57933e+16,1581.29
7.39072e+16,1515.35
8.30218e+16,1451.67
9.32603e+16,1390.32
1.04762e+17,1331.39
1.17681e+17,1274.91
1.32194e+17,1220.91
1.48497e+17,1169.39
1.6681e+17,1120.35
1.87382e+17,1073.76
2.1049e+17,1029.59
2.36449e+17,987.791
2.65609e+17,948.298
2.98365e+17,911.05
3.3516e+17,875.972
3.76494e+17,842.988
4.22924e+17,812.014
4.75081e+17,782.966
5.3367e+17,755.757
5.99484e+17,730.3
6.73415e+17,706.507
7.56463e+17,684.291
8.49753e+17,663.567
9.54548e+17,644.252
1.07227e+18,626.265
1.2045e+18,609.526
1.35305e+18,593.96
1.51991e+18,579.494
1.70735e+18,566.059
1.91791e+18,553.588
2.15443e+18,542.018
2.42013e+18,531.289
2.71859e+18,521.344
3.05386e+18,512.13
3.43047e+18,503.597
3.85353e+18,495.696
4.32876e+18,488.384
4.8626e+18,481.619
5.46228e+18,475.362
6.13591e+18,469.575
6.89261e+18,464.225
7.74264e+18,459.28
8.69749e+18,454.711
9.7701e+18,450.489
1.0975e+19,446.589
1.23285e+19,442.987
1.38489e+19,439.66
1.55568e+19,436.589
1.74753e+19,433.753
1.96304e+19,431.135
2.20513e+19,428.719
2.47708e+19,426.489
2.78256e+19,424.431
3.12572e+19,422.532
3.51119e+19,420.78
3.94421e+19,419.163
4.43062e+19,417.672
4.97702e+19,416.296
5.59081e+19,415.027
6.28029e+19,413.857
7.0548e+19,412.777
7.92483e+19,411.781
8.90215e+19,410.862

