"x","y"
1e+15,3674.52
1.12332e+15,3666.46
1.26186e+15,3657.91
1.41747e+15,3648.84
1.59228e+15,3639.22
1.78865e+15,3629.03
2.00923e+15,3618.23
2.25702e+15,3606.8
2.53536e+15,3594.71
2.84804e+15,3581.91
3.19927e+15,3568.39
3.59381e+15,3554.11
4.03702e+15,3539.02
4.53488e+15,3523.11
5.09414e+15,3506.33
5.72237e+15,3488.66
6.42807e+15,3470.05
7.22081e+15,3450.48
8.11131e+15,3429.91
9.11163e+15,3408.31
1.02353e+16,3385.66
1.14976e+16,3361.91
1.29155e+16,3337.06
1.45083e+16,3311.07
1.62975e+16,3283.93
1.83074e+16,3255.61
2.05651e+16,3226.1
2.31013e+16,3195.4
2.59502e+16,3163.49
2.91505e+16,3130.39
3.27455e+16,3096.08
3.67838e+16,3060.58
4.13201e+16,3023.92
4.64159e+16,2986.1
5.21401e+16,2947.17
5.85702e+16,2907.15
6.57933e+16,2866.09
7.39072e+16,2824.03
8.30218e+16,2781.05
9.32603e+16,2737.18
1.04762e+17,2692.51
1.17681e+17,2647.11
1.32194e+17,2601.06
1.48497e+17,2554.45
1.6681e+17,2507.36
1.87382e+17,2459.89
2.1049e+17,2412.14
2.36449e+17,2364.2
2.65609e+17,2316.19
2.98365e+17,2268.18
3.3516e+17,2220.3
3.76494e+17,2172.64
4.22924e+17,2125.3
4.75081e+17,2078.38
5.3367e+17,2031.96
5.99484e+17,1986.14
6.73415e+17,1941
7.56463e+17,1896.62
8.49753e+17,1853.07
9.54548e+17,1810.42
1.07227e+18,1768.72
1.2045e+18,1728.04
1.35305e+18,1688.41
1.51991e+18,1649.89
1.70735e+18,1612.49
1.91791e+18,1576.25
2.15443e+18,1541.19
2.42013e+18,1507.32
2.71859e+18,1474.65
3.05386e+18,1443.19
3.43047e+18,1412.93
3.85353e+18,1383.86
4.32876e+18,1355.97
4.8626e+18,1329.25
5.46228e+18,1303.69
6.13591e+18,1279.24
6.89261e+18,1255.9
7.74264e+18,1233.64
8.69749e+18,1212.42
9.7701e+18,1192.23
1.0975e+19,1173.01
1.23285e+19,1154.75
1.38489e+19,1137.41
1.55568e+19,1120.95
1.74753e+19,1105.35
1.96304e+19,1090.56
2.20513e+19,1076.56
2.47708e+19,1063.31
2.78256e+19,1050.77
3.12572e+19,1038.93
3.51119e+19,1027.73
3.94421e+19,1017.16
4.43062e+19,1007.18
4.97702e+19,997.77
5.59081e+19,988.892
6.28029e+19,980.522
7.0548e+19,972.635
7.92483e+19,965.205
8.90215e+19,958.208

