"x","y"
1e+15,220
1.12332e+15,220
1.26186e+15,220
1.41747e+15,220
1.59228e+15,220
1.78865e+15,220
2.00923e+15,220
2.25702e+15,220
2.53536e+15,220
2.84804e+15,220
3.19927e+15,220
3.59381e+15,220
4.03702e+15,220
4.53488e+15,220
5.09414e+15,220
5.72237e+15,220
6.42807e+15,220
7.22081e+15,220
8.11131e+15,220
9.11163e+15,220
1.02353e+16,220
1.14976e+16,220
1.29155e+16,220
1.45083e+16,220
1.62975e+16,220
1.83074e+16,220
2.05651e+16,220
2.31013e+16,220
2.59502e+16,220
2.91505e+16,220
3.27455e+16,220
3.67838e+16,220
4.13201e+16,220
4.64159e+16,220
5.21401e+16,220
5.85702e+16,220
6.57933e+16,220
7.39072e+16,220
8.30218e+16,220
9.32603e+16,220
1.04762e+17,220
1.17681e+17,220
1.32194e+17,220
1.48497e+17,220
1.6681e+17,220
1.87382e+17,220
2.1049e+17,220
2.36449e+17,220
2.65609e+17,220
2.98365e+17,220
3.3516e+17,220
3.76494e+17,220
4.22924e+17,220
4.75081e+17,220
5.3367e+17,220
5.99484e+17,220
6.73415e+17,220
7.56463e+17,220
8.49753e+17,220
9.54548e+17,220
1.07227e+18,220
1.2045e+18,220
1.35305e+18,220
1.51991e+18,220
1.70735e+18,220
1.91791e+18,220
2.15443e+18,220
2.42013e+18,220
2.71859e+18,220
3.05386e+18,220
3.43047e+18,220
3.85353e+18,220
4.32876e+18,220
4.8626e+18,220
5.46228e+18,220
6.13591e+18,220
6.89261e+18,220
7.74264e+18,220
8.69749e+18,220
9.7701e+18,220
1.0975e+19,220
1.23285e+19,220
1.38489e+19,220
1.55568e+19,220
1.74753e+19,220
1.96304e+19,220
2.20513e+19,220
2.47708e+19,220
2.78256e+19,220
3.12572e+19,220
3.51119e+19,220
3.94421e+19,220
4.43062e+19,220
4.97702e+19,220
5.59081e+19,220
6.28029e+19,220
7.0548e+19,220
7.92483e+19,220
8.90215e+19,220

