"x","y"
1e+15,379.158
1.12332e+15,376.916
1.26186e+15,374.607
1.41747e+15,372.228
1.59228e+15,369.78
1.78865e+15,367.261
2.00923e+15,364.671
2.25702e+15,362.009
2.53536e+15,359.274
2.84804e+15,356.467
3.19927e+15,353.586
3.59381e+15,350.632
4.03702e+15,347.604
4.53488e+15,344.503
5.09414e+15,341.329
5.72237e+15,338.082
6.42807e+15,334.762
7.22081e+15,331.371
8.11131e+15,327.909
9.11163e+15,324.376
1.02353e+16,320.775
1.14976e+16,317.107
1.29155e+16,313.372
1.45083e+16,309.573
1.62975e+16,305.711
1.83074e+16,301.789
2.05651e+16,297.809
2.31013e+16,293.773
2.59502e+16,289.683
2.91505e+16,285.542
3.27455e+16,281.354
3.67838e+16,277.121
4.13201e+16,272.846
4.64159e+16,268.532
5.21401e+16,264.184
5.85702e+16,259.804
6.57933e+16,255.397
7.39072e+16,250.965
8.30218e+16,246.513
9.32603e+16,242.045
1.04762e+17,237.564
1.17681e+17,233.075
1.32194e+17,228.582
1.48497e+17,224.088
1.6681e+17,219.599
1.87382e+17,215.117
2.1049e+17,210.647
2.36449e+17,206.193
2.65609e+17,201.758
2.98365e+17,197.347
3.3516e+17,192.964
3.76494e+17,188.611
4.22924e+17,184.293
4.75081e+17,180.013
5.3367e+17,175.775
5.99484e+17,171.581
6.73415e+17,167.434
7.56463e+17,163.338
8.49753e+17,159.295
9.54548e+17,155.307
1.07227e+18,151.378
1.2045e+18,147.509
1.35305e+18,143.702
1.51991e+18,139.959
1.70735e+18,136.282
1.91791e+18,132.672
2.15443e+18,129.132
2.42013e+18,125.66
2.71859e+18,122.26
3.05386e+18,118.932
3.43047e+18,115.675
3.85353e+18,112.492
4.32876e+18,109.382
4.8626e+18,106.345
5.46228e+18,103.382
6.13591e+18,100.492
6.89261e+18,97.6755
7.74264e+18,94.9319
8.69749e+18,92.2608
9.7701e+18,89.6617
1.0975e+19,87.134
1.23285e+19,84.6769
1.38489e+19,82.2898
1.55568e+19,79.9716
1.74753e+19,77.7215
1.96304e+19,75.5385
2.20513e+19,73.4214
2.47708e+19,71.3692
2.78256e+19,69.3807
3.12572e+19,67.4546
3.51119e+19,65.5898
3.94421e+19,63.785
4.43062e+19,62.0388
4.97702e+19,60.35
5.59081e+19,58.7172
6.28029e+19,57.1391
7.0548e+19,55.6144
7.92483e+19,54.1416
8.90215e+19,52.7195

