"x","y"
1e+15,162.522
1.12332e+15,161.78
1.26186e+15,161.009
1.41747e+15,160.211
1.59228e+15,159.383
1.78865e+15,158.525
2.00923e+15,157.636
2.25702e+15,156.716
2.53536e+15,155.764
2.84804e+15,154.78
3.19927e+15,153.762
3.59381e+15,152.71
4.03702e+15,151.624
4.53488e+15,150.503
5.09414e+15,149.346
5.72237e+15,148.154
6.42807e+15,146.926
7.22081e+15,145.661
8.11131e+15,144.36
9.11163e+15,143.022
1.02353e+16,141.647
1.14976e+16,140.235
1.29155e+16,138.786
1.45083e+16,137.301
1.62975e+16,135.779
1.83074e+16,134.221
2.05651e+16,132.627
2.31013e+16,130.998
2.59502e+16,129.334
2.91505e+16,127.637
3.27455e+16,125.906
3.67838e+16,124.143
4.13201e+16,122.349
4.64159e+16,120.526
5.21401e+16,118.673
5.85702e+16,116.793
6.57933e+16,114.886
7.39072e+16,112.956
8.30218e+16,111.002
9.32603e+16,109.027
1.04762e+17,107.033
1.17681e+17,105.022
1.32194e+17,102.995
1.48497e+17,100.954
1.6681e+17,98.9018
1.87382e+17,96.8402
2.1049e+17,94.7714
2.36449e+17,92.6975
2.65609e+17,90.6207
2.98365e+17,88.5433
3.3516e+17,86.4674
3.76494e+17,84.3953
4.22924e+17,82.3292
4.75081e+17,80.2711
5.3367e+17,78.2233
5.99484e+17,76.1878
6.73415e+17,74.1667
7.56463e+17,72.162
8.49753e+17,70.1755
9.54548e+17,68.209
1.07227e+18,66.2645
1.2045e+18,64.3435
1.35305e+18,62.4476
1.51991e+18,60.5782
1.70735e+18,58.7369
1.91791e+18,56.9249
2.15443e+18,55.1434
2.42013e+18,53.3934
2.71859e+18,51.676
3.05386e+18,49.992
3.43047e+18,48.3422
3.85353e+18,46.7273
4.32876e+18,45.1478
4.8626e+18,43.6043
5.46228e+18,42.097
6.13591e+18,40.6264
6.89261e+18,39.1925
7.74264e+18,37.7955
8.69749e+18,36.4354
9.7701e+18,35.1121
1.0975e+19,33.8256
1.23285e+19,32.5757
1.38489e+19,31.362
1.55568e+19,30.1843
1.74753e+19,29.0421
1.96304e+19,27.9351
2.20513e+19,26.8629
2.47708e+19,25.8247
2.78256e+19,24.8202
3.12572e+19,23.8487
3.51119e+19,22.9097
3.94421e+19,22.0024
4.43062e+19,21.1262
4.97702e+19,20.2804
5.59081e+19,19.4643
6.28029e+19,18.6772
7.0548e+19,17.9184
7.92483e+19,17.1872
8.90215e+19,16.4827

