"x","y"
1e+15,430.097
1.12332e+15,427.698
1.26186e+15,425.221
1.41747e+15,422.664
1.59228e+15,420.025
1.78865e+15,417.304
2.00923e+15,414.499
2.25702e+15,411.609
2.53536e+15,408.634
2.84804e+15,405.572
3.19927e+15,402.423
3.59381e+15,399.187
4.03702e+15,395.862
4.53488e+15,392.448
5.09414e+15,388.946
5.72237e+15,385.356
6.42807e+15,381.677
7.22081e+15,377.911
8.11131e+15,374.057
9.11163e+15,370.117
1.02353e+16,366.091
1.14976e+16,361.981
1.29155e+16,357.789
1.45083e+16,353.515
1.62975e+16,349.163
1.83074e+16,344.734
2.05651e+16,340.23
2.31013e+16,335.654
2.59502e+16,331.01
2.91505e+16,326.299
3.27455e+16,321.526
3.67838e+16,316.693
4.13201e+16,311.805
4.64159e+16,306.866
5.21401e+16,301.878
5.85702e+16,296.848
6.57933e+16,291.779
7.39072e+16,286.675
8.30218e+16,281.541
9.32603e+16,276.383
1.04762e+17,271.205
1.17681e+17,266.011
1.32194e+17,260.808
1.48497e+17,255.6
1.6681e+17,250.392
1.87382e+17,245.189
2.1049e+17,239.996
2.36449e+17,234.819
2.65609e+17,229.662
2.98365e+17,224.53
3.3516e+17,219.428
3.76494e+17,214.361
4.22924e+17,209.333
4.75081e+17,204.348
5.3367e+17,199.411
5.99484e+17,194.527
6.73415e+17,189.697
7.56463e+17,184.928
8.49753e+17,180.221
9.54548e+17,175.58
1.07227e+18,171.008
1.2045e+18,166.509
1.35305e+18,162.084
1.51991e+18,157.736
1.70735e+18,153.467
1.91791e+18,149.28
2.15443e+18,145.175
2.42013e+18,141.154
2.71859e+18,137.219
3.05386e+18,133.37
3.43047e+18,129.608
3.85353e+18,125.935
4.32876e+18,122.349
4.8626e+18,118.852
5.46228e+18,115.444
6.13591e+18,112.124
6.89261e+18,108.893
7.74264e+18,105.749
8.69749e+18,102.692
9.7701e+18,99.722
1.0975e+19,96.8373
1.23285e+19,94.0373
1.38489e+19,91.3209
1.55568e+19,88.6869
1.74753e+19,86.1341
1.96304e+19,83.6612
2.20513e+19,81.2668
2.47708e+19,78.9494
2.78256e+19,76.7076
3.12572e+19,74.5398
3.51119e+19,72.4443
3.94421e+19,70.4196
4.43062e+19,68.4641
4.97702e+19,66.576
5.59081e+19,64.7537
6.28029e+19,62.9955
7.0548e+19,61.2996
7.92483e+19,59.6645
8.90215e+19,58.0883

