"x","y"
1e+15,147.592
1.12332e+15,147.362
1.26186e+15,147.11
1.41747e+15,146.835
1.59228e+15,146.534
1.78865e+15,146.206
2.00923e+15,145.847
2.25702e+15,145.456
2.53536e+15,145.029
2.84804e+15,144.564
3.19927e+15,144.058
3.59381e+15,143.506
4.03702e+15,142.906
4.53488e+15,142.254
5.09414e+15,141.547
5.72237e+15,140.779
6.42807e+15,139.947
7.22081e+15,139.046
8.11131e+15,138.072
9.11163e+15,137.021
1.02353e+16,135.888
1.14976e+16,134.668
1.29155e+16,133.358
1.45083e+16,131.952
1.62975e+16,130.447
1.83074e+16,128.84
2.05651e+16,127.126
2.31013e+16,125.304
2.59502e+16,123.371
2.91505e+16,121.326
3.27455e+16,119.169
3.67838e+16,116.9
4.13201e+16,114.521
4.64159e+16,112.035
5.21401e+16,109.445
5.85702e+16,106.758
6.57933e+16,103.979
7.39072e+16,101.116
8.30218e+16,98.1799
9.32603e+16,95.1791
1.04762e+17,92.1255
1.17681e+17,89.0312
1.32194e+17,85.9089
1.48497e+17,82.7719
1.6681e+17,79.6338
1.87382e+17,76.508
2.1049e+17,73.4079
2.36449e+17,70.3463
2.65609e+17,67.3356
2.98365e+17,64.3872
3.3516e+17,61.5113
3.76494e+17,58.7174
4.22924e+17,56.0136
4.75081e+17,53.4066
5.3367e+17,50.9021
5.99484e+17,48.5042
6.73415e+17,46.216
7.56463e+17,44.0394
8.49753e+17,41.9751
9.54548e+17,40.0229
1.07227e+18,38.1816
1.2045e+18,36.4494
1.35305e+18,34.8237
1.51991e+18,33.3014
1.70735e+18,31.8788
1.91791e+18,30.5521
2.15443e+18,29.317
2.42013e+18,28.1692
2.71859e+18,27.1042
3.05386e+18,26.1174
3.43047e+18,25.2044
3.85353e+18,24.3608
4.32876e+18,23.582
4.8626e+18,22.8641
5.46228e+18,22.2027
6.13591e+18,21.5941
6.89261e+18,21.0345
7.74264e+18,20.5203
8.69749e+18,20.0482
9.7701e+18,19.6151
1.0975e+19,19.2179
1.23285e+19,18.8539
1.38489e+19,18.5205
1.55568e+19,18.2152
1.74753e+19,17.9357
1.96304e+19,17.6801
2.20513e+19,17.4463
2.47708e+19,17.2326
2.78256e+19,17.0373
3.12572e+19,16.8588
3.51119e+19,16.6957
3.94421e+19,16.5468
4.43062e+19,16.4108
4.97702e+19,16.2867
5.59081e+19,16.1734
6.28029e+19,16.07
7.0548e+19,15.9756
7.92483e+19,15.8895
8.90215e+19,15.811

