"x","y"
1e+15,1785.15
1.12332e+15,1783.34
1.26186e+15,1781.31
1.41747e+15,1779.04
1.59228e+15,1776.49
1.78865e+15,1773.64
2.00923e+15,1770.46
2.25702e+15,1766.89
2.53536e+15,1762.91
2.84804e+15,1758.46
3.19927e+15,1753.5
3.59381e+15,1747.96
4.03702e+15,1741.79
4.53488e+15,1734.93
5.09414e+15,1727.29
5.72237e+15,1718.81
6.42807e+15,1709.4
7.22081e+15,1698.98
8.11131e+15,1687.46
9.11163e+15,1674.74
1.02353e+16,1660.73
1.14976e+16,1645.32
1.29155e+16,1628.43
1.45083e+16,1609.95
1.62975e+16,1589.8
1.83074e+16,1567.88
2.05651e+16,1544.14
2.31013e+16,1518.51
2.59502e+16,1490.95
2.91505e+16,1461.44
3.27455e+16,1429.98
3.67838e+16,1396.62
4.13201e+16,1361.42
4.64159e+16,1324.48
5.21401e+16,1285.93
5.85702e+16,1245.95
6.57933e+16,1204.74
7.39072e+16,1162.53
8.30218e+16,1119.57
9.32603e+16,1076.16
1.04762e+17,1032.56
1.17681e+17,989.081
1.32194e+17,946.011
1.48497e+17,903.629
1.6681e+17,862.198
1.87382e+17,821.954
2.1049e+17,783.107
2.36449e+17,745.833
2.65609e+17,710.275
2.98365e+17,676.539
3.3516e+17,644.701
3.76494e+17,614.8
4.22924e+17,586.848
4.75081e+17,560.833
5.3367e+17,536.716
5.99484e+17,514.444
6.73415e+17,493.945
7.56463e+17,475.139
8.49753e+17,457.936
9.54548e+17,442.241
1.07227e+18,427.957
1.2045e+18,414.986
1.35305e+18,403.231
1.51991e+18,392.598
1.70735e+18,382.994
1.91791e+18,374.334
2.15443e+18,366.536
2.42013e+18,359.521
2.71859e+18,353.218
3.05386e+18,347.561
3.43047e+18,342.487
3.85353e+18,337.941
4.32876e+18,333.87
4.8626e+18,330.226
5.46228e+18,326.967
6.13591e+18,324.054
6.89261e+18,321.451
7.74264e+18,319.126
8.69749e+18,317.05
9.7701e+18,315.197
1.0975e+19,313.544
1.23285e+19,312.069
1.38489e+19,310.754
1.55568e+19,309.581
1.74753e+19,308.535
1.96304e+19,307.602
2.20513e+19,306.772
2.47708e+19,306.031
2.78256e+19,305.371
3.12572e+19,304.784
3.51119e+19,304.26
3.94421e+19,303.793
4.43062e+19,303.378
4.97702e+19,303.008
5.59081e+19,302.678
6.28029e+19,302.385
7.0548e+19,302.123
7.92483e+19,301.89
8.90215e+19,301.683

