"thickness","Variable"
0.001,0.00656781
0.00112332,0.00722361
0.00126186,0.00794782
0.00141747,0.00874711
0.00159228,0.00962872
0.00178865,0.0106005
0.00200923,0.0116711
0.00225702,0.0128498
0.00253536,0.0141467
0.00284804,0.0155728
0.00319927,0.01714
0.00359381,0.0188614
0.00403702,0.0207508
0.00453488,0.0228235
0.00509414,0.0250958
0.00572237,0.0275852
0.00642807,0.0303107
0.00722081,0.0332927
0.00811131,0.036553
0.00911163,0.0401147
0.0102353,0.0440027
0.0114976,0.0482436
0.0129155,0.0528652
0.0145083,0.0578973
0.0162975,0.0633711
0.0183074,0.0693195
0.0205651,0.0757768
0.0231013,0.0827786
0.0259502,0.0903622
0.0291505,0.0985654
0.0327455,0.107427
0.0367838,0.116988
0.0413201,0.127286
0.0464159,0.138361
0.0521401,0.150252
0.0585702,0.162997
0.0657933,0.176631
0.0739072,0.191185
0.0830218,0.20669
0.0932603,0.223168
0.104762,0.240637
0.117681,0.259108
0.132194,0.278584
0.148497,0.299058
0.16681,0.32051
0.187382,0.342912
0.21049,0.366217
0.236449,0.390368
0.265609,0.41529
0.298365,0.440892
0.33516,0.467067
0.376494,0.493694
0.422924,0.520633
0.475081,0.547735
0.53367,0.574837
0.599484,0.601769
0.673415,0.62836
0.756463,0.654435
0.849753,0.679827
0.954548,0.704382
1.07227,0.727957
1.2045,0.750433
1.35305,0.771714
1.51991,0.791729
1.70735,0.810437
1.91791,0.82782
2.15443,0.843888
2.42013,0.858672
2.71859,0.872218
3.05386,0.884586
3.43047,0.895846
3.85353,0.90607
4.32876,0.915336
4.8626,0.923717
5.46228,0.931286
6.13591,0.938115
6.89261,0.944269
7.74264,0.949812
8.69749,0.954802
9.7701,0.959293
10.975,0.963334
12.3285,0.966971
13.8489,0.970246
15.5568,0.973194
17.4753,0.97585
19.6304,0.978244
22.0513,0.980403
24.7708,0.982349
27.8256,0.984106
31.2572,0.985692
35.1119,0.987124
39.4421,0.988417
44.3062,0.989585
49.7702,0.990639
55.9081,0.991591
62.8029,0.992451
70.548,0.993226
79.2483,0.993925
89.0215,0.994555

