"x","y"
0.001,-7947.99
0.00112332,-7075.31
0.00126186,-6298.45
0.00141747,-5606.87
0.00159228,-4991.22
0.00178865,-4443.15
0.00200923,-3955.26
0.00225702,-3520.93
0.00253536,-3134.28
0.00284804,-2790.08
0.00319927,-2483.67
0.00359381,-2210.89
0.00403702,-1968.07
0.00453488,-1751.9
0.00509414,-1559.46
0.00572237,-1388.15
0.00642807,-1235.65
0.00722081,-1099.89
0.00811131,-979.038
0.00911163,-871.451
0.0102353,-775.675
0.0114976,-690.414
0.0129155,-614.514
0.0145083,-546.946
0.0162975,-486.796
0.0183074,-433.249
0.0205651,-385.581
0.0231013,-343.147
0.0259502,-305.371
0.0291505,-271.742
0.0327455,-241.805
0.0367838,-215.155
0.0413201,-191.43
0.0464159,-170.31
0.0521401,-151.509
0.0585702,-134.771
0.0657933,-119.871
0.0739072,-106.607
0.0830218,-94.7992
0.0932603,-84.2874
0.104762,-74.9296
0.117681,-66.599
0.132194,-59.1829
0.148497,-52.5809
0.16681,-46.7035
0.187382,-41.4713
0.21049,-36.8133
0.236449,-32.6665
0.265609,-28.9748
0.298365,-25.6883
0.33516,-22.7623
0.376494,-20.1573
0.422924,-17.8382
0.475081,-15.7734
0.53367,-13.935
0.599484,-12.2983
0.673415,-10.8409
0.756463,-9.54337
0.849753,-8.38801
0.954548,-7.35925
1.07227,-6.44321
1.2045,-5.62752
1.35305,-4.90117
1.51991,-4.25439
1.70735,-3.67844
1.91791,-3.16557
2.15443,-2.70887
2.42013,-2.30221
2.71859,-1.94009
3.05386,-1.61765
3.43047,-1.33054
3.85353,-1.0749
4.32876,-0.84729
4.8626,-0.644632
5.46228,-0.464198
6.13591,-0.303554
6.89261,-0.160531
7.74264,-0.0331979
8.69749,0.080165
9.7701,0.18109
10.975,0.270941
12.3285,0.350932
13.8489,0.422147
15.5568,0.485546
17.4753,0.541989
19.6304,0.592239
22.0513,0.636974
24.7708,0.676801
27.8256,0.712258
31.2572,0.743824
35.1119,0.771927
39.4421,0.796947
44.3062,0.819223
49.7702,0.839054
55.9081,0.85671
62.8029,0.872429
70.548,0.886424
79.2483,0.898884
89.0215,0.909978

